Time_s,Real,Imaginary,Magnitude
-0.3506590400397936,-1.1477655198009894e-08,6.071222309084684e-07,6.07230713841222e-07
-0.3481720964934121,-1.6515715613249833e-07,7.03983834963384e-07,7.230975910010539e-07
-0.34568515294703056,-3.6784147578473896e-07,7.77366652099389e-07,8.600036413316557e-07
-0.34319820940064905,-6.210794801789505e-07,8.110764464180498e-07,1.021559945687715e-06
-0.34071126585426753,-9.224445746332524e-07,7.860906411787693e-07,1.2119581219741756e-06
-0.338224322307886,-1.2642125608060568e-06,6.811939509656252e-07,1.436056613693195e-06
-0.3357373787615045,-1.6320227208356643e-06,4.7405627364399166e-07,1.6994786000138607e-06
-0.333250435215123,-2.003639373415841e-06,1.4281784612098698e-07,2.0087228967363473e-06
-0.33076349166874147,-2.3479645055595967e-06,-3.3177681503502805e-07,2.3712893485111657e-06
-0.32827654812235996,-2.6244832242693787e-06,-9.636904296129455e-07,2.795820351631874e-06
-0.32578960457597844,-2.783348966127484e-06,-1.758393122259134e-06,3.292260293423222e-06
-0.3233026610295969,-2.7663302093209254e-06,-2.7092565474029493e-06,3.872034848325529e-06
-0.3208157174832154,-2.5088398885688147e-06,-3.7937212307494343e-06,4.548252231694388e-06
-0.3183287739368339,-1.9432476370338345e-06,-4.969499320098662e-06,5.335928679367692e-06
-0.3158418303904524,-1.0036283957825665e-06,-6.171162166010759e-06,6.252240593261242e-06
-0.31335488684407087,3.6797538287038953e-07,-7.307547037989276e-06,7.316805969466763e-06
-0.31086794329768935,2.2138095818739786e-06,-8.260491225532326e-06,8.551997904109518e-06
-0.30838099975130784,4.551356092660006e-06,-8.885454398830517e-06,9.983293151855752e-06
-0.3058940562049263,7.363319333327088e-06,-9.014609668797601e-06,1.1639658890419755e-05
-0.3034071126585448,1.0587197259355758e-05,-8.462957855514487e-06,1.3553981019343521e-05
-0.3009201691121633,1.4105196663125871e-05,-7.037935868784413e-06,1.576353748999822e-05
-0.2984332255657818,1.773546784213489e-05,-4.552838117405478e-06,1.8310520323101177e-05
-0.29594628201940026,2.122583118135544e-05,-8.441417092778034e-07,2.1242610116573326e-05
-0.29345933847301875,2.4251324683591372e-05,4.207481370108463e-06,2.4613606976401852e-05
-0.29097239492663723,2.6416990494317014e-05,1.0653065958794756e-05,2.8484121912027887e-05
-0.2884854513802557,2.7267311602166973e-05,1.8449219939122703e-05,3.292233282092556e-05
-0.2859985078338742,2.63035788832535e-05,2.743150129417994e-05,3.800480923935989e-05
-0.2835115642874927,2.3010187975491667e-05,3.72893640736847e-05,4.3817410052252845e-05
-0.2810246207411112,1.6890415460749827e-05,4.754521921390641e-05,5.045625832872621e-05
-0.27853767719472966,7.511594168013419e-06,5.754057071176558e-05,5.802879737492953e-05
-0.27605073364834815,-5.4411993277326465e-06,6.643247176802362e-05,6.665493196555956e-05
-0.27356379010196663,-2.2104796848983303e-05,7.32036373264735e-05,7.646825852313289e-05
-0.2710768465555851,-4.237386725112385e-05,7.668938655866448e-05,8.761738775243265e-05
-0.2685899030092036,-6.583720435912248e-05,7.56241137796421e-05,0.00010026736289930592
-0.2661029594628221,-9.17195831927776e-05,6.870915286045805e-05,0.00011460117638077997
-0.26361601591644057,-0.00011883539886151043,5.4702680731747236e-05,0.00013082138701991255
-0.26112907237005906,-0.00014556106932277012,3.253069820710488e-05,0.00014915183950669206
-0.25864212882367754,-0.00016983358273749713,1.4161621096545227e-06,0.00016983948698867147
-0.256155185277296,-0.0001891824712364384,-3.897890867947391e-05,0.0001931563168653011
-0.2536682417309145,-0.0002008017726431554,-8.840595665388994e-05,0.0002194013789120819
-0.251181298184533,-0.00020166709828839966,-0.00014588708634005843,0.00024890291378940245
-0.24869435463815148,-0.00018870069195105486,-0.00020958925478006422,0.0002820205787918137
-0.24620741109176997,-0.0001589843254526414,-0.0002767296171988244,0.0003191477663632307
-0.24372046754538845,-0.00011001607740871686,-0.00034352737782876696,0.0003607140094400399
-0.24123352399900694,-4.000260518829114e-05,-0.0004052177490144632,0.00040718746608681215
-0.23874658045262542,5.18263486581992e-05,-0.0004561426935348965,0.0004590774741593316
-0.2362596369062439,0.00016489948482592348,-0.0004899308036121245,0.0005169371648700421
-0.2337726933598624,0.00029700456061596215,-0.0004997748082420731,0.0005813661221468633
-0.23128574981348088,0.00044403524893339366,-0.0004788097436964323,0.0006530130725751086
-0.22879880626709936,0.0005998143563180448,-0.00042058783421433085,0.0007325785885038764
-0.22631186272071785,0.0007560248029048562,-0.00031963781519214036,0.0008208177845954189
-0.22382491917433633,0.0009022789091378184,-0.00017208714864730166,0.0009185429857140546
-0.22133797562795482,0.001026353109936614,2.3684150991394974e-05,0.0010266263416086412
-0.2188510320815733,0.001114608923593879,0.00026639887328885214,0.0011460023613608637
-0.2163640885351918,0.0011526117022018678,0.000551296432733686,0.0012776703380753484
-0.21387714498881027,0.0011259464576183497,0.0008696610148355009,0.0014226966318045542
-0.21139020144242876,0.0010212152182111057,0.0012085236469264766,0.0015822167762624775
-0.20890325789604725,0.0008271835308757572,0.0015505977958771124,0.0017574373725202964
-0.20641631434966573,0.0005360257700150978,0.0018745035755048489,0.0019496377306311911
-0.20392937080328422,0.00014460101213917902,0.0021553260167634387,0.002160171218040141
-0.2014424272569027,-0.00034432522417074944,0.0023655378112227825,0.00239046627173966
-0.19895548371052119,-0.0009210115277353346,0.002476296547320803,0.002642027029478371
-0.19646854016413967,-0.0015679304058347071,0.0024591012180219507,0.0029164335339619918
-0.19398159661775816,-0.0022593269211689916,0.002287763664949858,0.003215341462952848
-0.19149465307137664,-0.0029612506790430483,0.0019406191066802254,0.0035404813375225224
-0.18900770952499513,-0.003632151937854595,0.0014028679138743884,0.0038936571604905293
-0.1865207659786136,-0.004224109549703261,0.000668910677448913,0.004276744437337758
-0.1840338224322321,-0.004684726063792597,-0.0002554870082131531,0.004691687532662783
-0.18154687888585058,-0.004959684371697557,-0.0013513820015379362,0.005140496316596451
