Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.0,0.31119116695979404,-0.2951412749952569,-4.005873540974617,4.028767943289877
0.002486943546381497,-0.07213629649234188,-0.4038732521052455,0.8653986986804902,0.9577223797717083
0.004973887092762994,-0.44109842085084006,-0.5987957052928023,5.157271530753533,5.210621244676598
0.007460830639144491,-0.7382343637637785,-0.8559666742038989,8.635113092231233,8.708779882326377
0.009947774185525988,-0.9683325260445621,-1.1562326018253488,11.093021940081112,11.195073803849645
0.012434717731907486,-1.121816098546988,-1.4708631245227042,12.440018311019525,12.576802664769014
0.014921661278288981,-1.1699546588449812,-1.7902814919609509,12.642583281670078,12.822200035804103
0.01740860482467048,-1.1319018177170084,-2.1049109538220803,11.753389188487677,11.993915510146396
0.019895548371051976,-1.0076575726617523,-2.381232743202351,9.906511224440443,10.238388926047206
0.022382491917433474,-0.7972219211794066,-2.5857280932126727,7.28869701908995,7.774744806083924
0.02486943546381497,-0.5532672972951539,-2.7327622701805563,4.096271008710607,4.955151915368659
0.02735637901019647,-0.27579369851234226,-2.817546927164564,0.5878068728153121,2.891392358474116
0.029843322556577963,0.020833667703098913,-2.8257169105937545,-2.968544902365874,4.0984593371031375
0.032330266102959464,0.28873077064136804,-2.7524838735477544,-6.33815265376636,6.9160474256977995
0.03481720964934096,0.5231092094737393,-2.6217898890368287,-9.31990354148083,9.695773692171187
0.03730415319572246,0.7143921800493996,-2.4384234167975816,-11.73183833880222,12.003845040414848
0.03979109674210395,0.8386376682547769,-2.2119613198933425,-13.43030504550075,13.637051720754124
0.04227804028848545,0.8814804666150602,-1.9663456713536172,-14.333900904423375,14.494972861309684
0.04476498383486695,0.8524973842550918,-1.7207301408916558,-14.423472401491622,14.550746376888208
0.04725192738124844,0.7708420369383859,-1.4703263816220296,-13.766057282301025,13.865799299499402
0.04973887092762994,0.6221492171842733,-1.2390764665828908,-12.438270098993979,12.515308353932404
0.05222581447401144,0.4303609440725469,-1.0509224688129288,-10.56939784014043,10.630231384161121
0.05471275802039294,0.22420764000122623,-0.905864444748623,-8.307881107493554,8.360128465181798
0.05719970156677443,0.013266114084958258,-0.7991140475043266,-5.83089092262827,5.885409773523881
0.059686645113155926,-0.1976752278840922,-0.7594017534335871,-3.329963516978168,3.4211728315363787
0.062173588659537427,-0.37509756019409957,-0.7771508123232871,-0.9487510886693222,1.282493739949453
0.06466053220591893,-0.5094240737370532,-0.8427844739549695,1.1547289543177222,1.51762891194854
0.06714747575230041,-0.595866362727553,-0.9706680047052303,2.841612817392253,3.061374936455274
0.06963441929868192,-0.6392128280231644,-1.1320710410601746,4.020920739277392,4.225870498851981
0.07212136284506342,-0.6203098538822711,-1.2982632194970525,4.659133798652768,4.8762485022474875
0.07460830639144492,-0.5583110511281827,-1.4788214030455888,4.741886687594141,4.998411080523502
0.0770952499378264,-0.45800482062573833,-1.6641688414430682,4.288332921536412,4.622664339369602
0.0795821934842079,-0.31939115992197054,-1.844728784414421,3.3702984525569466,3.8553789256558373
0.0820691370305894,-0.14725846988677782,-1.9917708683898003,2.093128056096381,2.8930989109149845
0.0845560805769709,0.029662832005788675,-2.090929939745611,0.5190708778357216,2.154600304637576
0.0870430241233524,0.1922191349196693,-2.156571264764279,-1.227374693254733,2.4888142665692063
0.0895299676697339,0.3404104412973795,-2.1886948997502773,-2.978614638194591,3.71192804289149
0.0920169112161154,0.4598715436177845,-2.182512497669587,-4.624515777717916,5.134295357444416
0.09450385476249688,0.5506024443179156,-2.133235711468855,-6.0788869490287505,6.465811951444842
0.09699079830887838,0.5838727259101478,-2.0504414040351624,-7.250748585877604,7.55768300255108
0.09947774185525989,0.5740476007868213,-1.943706438233932,-8.073063138481004,8.32357337949885
0.10196468540164137,0.530703878017084,-1.817819273587459,-8.48836986355864,8.697041822259965
0.10445162894802287,0.44905315670622536,-1.6727799662737564,-8.506245664175074,8.680786649400611
0.10693857249440437,0.3338838425972008,-1.5373189923675867,-8.150632653214297,8.301062627897991
0.10942551604078588,0.20913795471121233,-1.411436407995565,-7.455049750057387,7.590366143589314
0.11191245958716736,0.07481549546485955,-1.280767059295933,-6.510476713783641,6.635681476627569
0.11439940313354886,-0.05471832276740507,-1.174041422261169,-5.393528093363853,5.520100782588723
0.11688634667993036,-0.16988669093455855,-1.0912595529321503,-4.171241630978708,4.314969947013801
0.11937329022631185,-0.2611127999887418,-1.0419983139595081,-2.9298086819386135,3.120531892702796
0.12186023377269335,-0.31881984088529725,-1.0262577613212285,-1.745843794759871,2.05007844711263
0.12434717731907485,-0.3573730211843683,-1.034461144321515,-0.7103267277642811,1.304756450667224
0.12683412086545634,-0.3576187252071915,-1.0666085188708925,0.11928158412595202,1.1312705164806391
0.12932106441183785,-0.30998014391894635,-1.1322767474850708,0.6998854161089714,1.3667398868114624
0.13180800795821934,-0.24797609817098454,-1.212312272721301,1.0075426568254642,1.5957240980751362
0.13429495150460083,-0.17160658557586572,-1.2971383437397455,1.0326764050403607,1.6668644997539481
0.13678189505098234,-0.07608320042926975,-1.3915434196226606,0.7896517762853517,1.6017901453914927
0.13926883859736383,0.024228849688392895,-1.4859507494513808,0.3119874995405585,1.5185430078933928
0.14175578214374532,0.11496435719320769,-1.5707835822661411,-0.3380672761229917,1.6108591958724754
0.14424272569012683,0.21048853441957893,-1.6412535703852438,-1.1174170147445093,1.9966570787856746
0.14672966923650832,0.27249415717488695,-1.7069375760445693,-1.9590241635887526,2.6125972953618346
0.14921661278288983,0.3201348411066354,-1.7486820415136393,-2.8150047830269394,3.3293583657015993
0.15170355632927132,0.35819899189772547,-1.756910215656994,-3.61832131997234,4.03822847276412
0.1541904998756528,0.3627445953054824,-1.750775767214325,-4.297147817839335,4.65427532456446
0.15667744342203432,0.33377165368505185,-1.7207019449556067,-4.846695966346241,5.153899542130656
0.1591643869684158,0.29043378266905456,-1.6666888042424826,-5.23823543842744,5.504662919807152
0.1616513305147973,0.2327309846050437,-1.6031016103474647,-5.433459100192523,5.669795082519192
0.1641382740611788,0.16545166515703508,-1.529940418530948,-5.43715544744783,5.650730156136417
0.1666252176075603,0.08380742334452984,-1.4567820906416706,-5.244536169171171,5.443748467147118
0.1691121611539418,0.0021634714643534725,-1.3740498751937298,-4.903485390674046,5.092365532508687
0.1715991047003233,-0.06990338151094311,-1.291320633927978,-4.41400320387324,4.599545602139199
0.1740860482467048,-0.1276047299331201,-1.2085944218890488,-3.8574925569374336,4.044407530226192
0.1765729917930863,-0.17094057147828667,-1.1450249073461327,-3.2578955579962976,3.457482636866359
0.1790599353394678,-0.20469930714693063,-1.0910353385887626,-2.6487311216231735,2.8719394964119775
0.18154687888584928,-0.2193041279827177,-1.065779383769455,-2.063518162192386,2.332828155076173
0.1840338224322308,-0.20038982171313968,-1.0644686943792028,-1.5453524005184214,1.887157577879398
0.18652076597861228,-0.16710999931205617,-1.0727381152073168,-1.1564831704944947,1.5862364701789013
0.18900770952499377,-0.12425306179660411,-1.100164507582527,-0.8681801427236877,1.4069603858424222
0.19149465307137528,-0.07181900686785614,-1.1323827161687845,-0.7091738274468522,1.3380493649940188
0.19398159661775677,-0.014596235551487036,-1.188546408807917,-0.6986179280564659,1.3787395059924772
0.19646854016413826,0.042626851122511966,-1.2399252200732565,-0.8029937112120695,1.4778465752764955
0.19895548371051977,0.09027344879948024,-1.2817308010732438,-1.0318780732447603,1.6479549447789315
0.20144242725690126,0.13313196308130293,-1.3379052227706643,-1.3613290870304446,1.9133560536152296
0.20392937080328274,0.1616255896045064,-1.3940833294972181,-1.7434628086287631,2.238136217004843
0.20641631434966426,0.18533113728240475,-1.435899965514949,-2.149548907164153,2.591662949864975
0.20890325789604575,0.18988339842225638,-1.4537783783354894,-2.5604338581835044,2.950482811413179
0.21139020144242726,0.184859181928354,-1.4620838320002618,-2.9473873303732017,3.2952927220786106
0.21387714498880875,0.16547008673949076,-1.4608163805169179,-3.2721021855574506,3.587201912343654
0.21636408853519024,0.13650451843048894,-1.4451876744989125,-3.5297901085793963,3.8166240460255527
0.21885103208157175,0.0979624792512262,-1.4199861711253843,-3.7012975740963228,3.965546759973926
0.22133797562795324,0.0450555681266086,-1.3804235208588644,-3.772259459859219,4.017155776623177
0.22382491917433472,-0.0030625994215971453,-1.3456533906864125,-3.742675853351754,3.9772371026434086
0.22631186272071624,-0.04160361783728961,-1.3108874309154581,-3.6269120517886115,3.8567664887777116
0.22879880626709773,-0.07535588820975692,-1.2569720818133816,-3.4345449488325936,3.658108299366987
0.2312857498134792,-0.09474260167214665,-1.212637816770552,-3.1847282445539307,3.4090996798118445
0.23377269335986073,-0.1093405626436863,-1.1730962858539735,-2.891827235467691,3.1226230983447767
0.23625963690624222,-0.1143613655875283,-1.1335591390484505,-2.5845724278134483,2.824544118662835
0.2387465804526237,-0.10980500829203288,-1.1083916395368045,-2.286905924272398,2.5437232304072097
0.24123352399900522,-0.09567148855048768,-1.097593840456673,-1.9892510040438633,2.2739799536098406
0.2437204675453867,-0.0671724008408292,-1.0963773915401105,-1.7394917859296992,2.057276643874594
0.24620741109176822,-0.029096146286608393,-1.0855887324719502,-1.571147178527962,1.9099353230921623
0.2486943546381497,0.008980470663284335,-1.0795931260919143,-1.4411216370673223,1.8006758563333505
0.2511812981845312,0.03748064555490582,-1.0783906251904831,-1.3781456663351435,1.750319004332716
0.2536682417309127,0.08034639717141073,-1.0867696857891413,-1.3917961575900257,1.7676595932958967
0.2561551852772942,0.11842411440802303,-1.1047303604987504,-1.4677079852399242,1.840820515481632
0.2586421288236757,0.14213699279544167,-1.1131190885576112,-1.5963044267624973,1.9512623741910784
0.26112907237005717,0.16106184114043381,-1.1263011323539094,-1.7632203560629396,2.0984377954678486
0.2636160159164387,0.16562185496330434,-1.1538533508622204,-1.958879050113083,2.2794769766570124
0.2661029594628202,0.1701822463806772,-1.1670453764003468,-2.1641269789889943,2.464630294536816
0.26858990300920166,0.15080100094140114,-1.1658772611126933,-2.355022209189741,2.6321360784810297
