Time_s,Real,Imaginary,Magnitude
-2.54414324794829,-6.323769049933774e-05,-4.695711930077741e-05,7.876532582753323e-05
-2.5416563044019083,-6.301886122536801e-05,-4.88676703401442e-05,7.974600977237168e-05
-2.5391693608555266,-6.275622487967996e-05,-5.079634901582673e-05,8.073792686517684e-05
-2.5366824173091453,-6.24488700741635e-05,-5.2742404248888356e-05,8.174119267231737e-05
-2.5341954737627637,-6.209589180161332e-05,-5.4705055912894654e-05,8.275592378235288e-05
-2.531708530216382,-6.169639217106652e-05,-5.668349465265446e-05,8.378223781305646e-05
-2.5292215866700007,-6.12494811554903e-05,-5.86768817180635e-05,8.482025341846353e-05
-2.526734643123619,-6.075427735159486e-05,-6.068434881350407e-05,8.587009029594382e-05
-2.524247699577238,-6.0209908751536064e-05,-6.270499796325854e-05,8.693186919329732e-05
-2.521760756030856,-5.9615513526255364e-05,-6.473790139339488e-05,8.800571191587541e-05
-2.5192738124844745,-5.897024082019607e-05,-6.678210143057253e-05,8.909174133372407e-05
-2.5167868689380932,-5.827325155711704e-05,-6.883661041822664e-05,9.019008138875224e-05
-2.5142999253917115,-5.7523719256711364e-05,-7.090041065057809e-05,9.130085710192185e-05
-2.51181298184533,-5.6720830861727705e-05,-7.297245432491895e-05,9.242419458046201e-05
-2.5093260382989486,-5.586378757527005e-05,-7.505166351262096e-05,9.356022102510541e-05
-2.506839094752567,-5.4951805707947296e-05,-7.713693014930697e-05,9.470906473734735e-05
-2.5043521512061857,-5.398411753452287e-05,-7.922711604462648e-05,9.587085512672708e-05
-2.501865207659804,-5.2959972159699515e-05,-8.132105291207315e-05,9.70457227181309e-05
-2.4993782641134223,-5.187863639266825e-05,-8.341754241927259e-05,9.823379915911746e-05
-2.496891320567041,-5.073939563002627e-05,-8.551535625917023e-05,9.943521722726378e-05
-2.4944043770206594,-4.954155474666049e-05,-8.761323624254185e-05,0.00010065011083753364
-2.4919174334742777,-4.828443899417758e-05,-8.970989441224093e-05,0.00010187861504966521
-2.4894304899278965,-4.696739490644275e-05,-9.18040131796005e-05,0.00010312086607558145
-2.486943546381515,-4.558979121178499e-05,-9.38942454833856e-05,0.0001043770012868181
-2.4844566028351336,-4.4151019751397943e-05,-9.597921497170619e-05,0.00010564715922197493
-2.481969659288752,-4.265049640346687e-05,-9.805751620727107e-05,0.0001069314795941839
-2.4794827157423702,-4.1087662012521037e-05,-0.00010012771489637688,0.00010823010329859846
-2.476995772195989,-3.9461983323512934e-05,-0.00010218834814200226,0.00010954317241990152
-2.4745088286496073,-3.7772953920098094e-05,-0.00010423792472137823,0.00011087083023983165
-2.4720218851032256,-3.602009516658216e-05,-0.0001062749253883945,0.0001122132212447288
-2.4695349415568444,-3.4202957152987425e-05,-0.00010829780320119114,0.00011357049113309769
-2.4670479980104627,-3.232111964266942e-05,-0.00011030498387527744,0.00011494278682318855
-2.4645610544640815,-3.03741930219131e-05,-0.00011229486616250837,0.00011633025646059627
-2.4620741109177,-2.8361819250913465e-05,-0.0001142658222562387,0.00011773304942587627
-2.459587167371318,-2.6283672815531095e-05,-0.00011621619822296533,0.00011915131634217667
-2.457100223824937,-2.4139461679211e-05,-0.00011814431446075493,0.00012058520908288811
-2.454613280278555,-2.192892823442546e-05,-0.00012004846618474304,0.00012203488077930823
-2.4521263367321735,-1.9651850252996538e-05,-0.00012192692393997991,0.00012350048582832318
-2.4496393931857923,-1.7308041834640394e-05,-0.00012377793414188233,0.00012498217990010346
-2.4471524496394106,-1.489735435305405e-05,-0.00012559971964454158,0.00012648011994581562
-2.4446655060930294,-1.2419677398866801e-05,-0.00012739048033711965,0.00012799446420534754
-2.4421785625466477,-9.87493971875351e-06,-0.0001291483937685561,0.0001295253722150492
-2.439691619000266,-7.263110149996904e-06,-0.0001308716158007885,0.00013107300481548508
-2.4372046754538848,-4.584198549777569e-06,-0.00013255828129068157,0.00013263752415920333
-2.434717731907503,-1.838256718457936e-06,-0.0001342065048008347,0.00013421909371851468
-2.4322307883611214,9.74620683890794e-07,-0.00013581438133943054,0.00013581787829328556
-2.42974384481474,3.854295228475979e-06,-0.00013737998712926705,0.00013743404401874316
-2.4272569012683585,6.80058381705274e-06,-0.0001389013804060984,0.00013906775837329232
