Time_s,Real,Imaginary,Magnitude
-0.4899278786371584,4.1585553522508293e-08,4.689351473330576e-07,4.7077545673712626e-07
-0.4874409350907769,-3.3885208134781096e-08,5.329275509813854e-07,5.340037283815109e-07
-0.4849539915443954,-1.294098233426404e-07,5.913411239043353e-07,6.053356318589018e-07
-0.4824670479980139,-2.4631163318538526e-07,6.399937253656472e-07,6.857560711724331e-07
-0.47998010445163236,-3.8531367038701086e-07,6.739971272083615e-07,7.76362513309494e-07
-0.47749316090525085,-5.463447778286862e-07,6.877888020332729e-07,8.783769421285154e-07
-0.47500621735886933,-7.283309005002624e-07,6.752028142143178e-07,9.931589706318208e-07
-0.4725192738124878,-9.289773128046648e-07,6.295866534042803e-07,1.1222202109437244e-06
-0.4700323302661063,-1.1445494243010026e-06,5.439704534204343e-07,1.2672400083891722e-06
-0.4675453867197248,-1.3696617985460128e-06,4.1129424190544906e-07,1.4300826534927542e-06
-0.46505844317334327,-1.5970870543367595e-06,2.2469760759552456e-07,1.6128161934917505e-06
-0.46257149962696176,-1.81759831074458e-06,-2.21256003691794e-08,1.817732973077522e-06
-0.46008455608058024,-2.019860682768203e-06,-3.3450725371668764e-07,2.0473720425418314e-06
-0.4575976125341987,-2.1903889113526566e-06,-7.163222253513916e-07,2.3045435803015414e-06
-0.4551106689878172,-2.3135893819898157e-06,-1.1694490740474022e-06,2.592355485894314e-06
-0.4526237254414357,-2.371905399053364e-06,-1.6931842821469427e-06,2.914242308966081e-06
-0.4501367818950542,-2.346084478396905e-06,-2.283624737780842e-06,3.27399668948817e-06
-0.44764983834867267,-2.215585435193652e-06,-2.933038102205458e-06,3.6758034944255716e-06
-0.44516289480229115,-1.9591410178546245e-06,-3.629245924030776e-06,4.124276846300992e-06
-0.44267595125590964,-1.5554886246051487e-06,-4.355049677856641e-06,4.624500249526997e-06
-0.4401890077095281,-9.842771112881377e-07,-5.087735092762663e-06,5.1820700309755006e-06
-0.4377020641631466,-2.271517642997322e-07,-5.798694929468908e-06,5.803142321972889e-06
-0.4352151206167651,7.309878772370813e-07,-6.4532144554245786e-06,6.494483819701787e-06
-0.4327281770703836,1.9005715028458613e-06,-7.010466909874493e-06,7.263526576799661e-06
-0.43024123352400206,3.2858071757627204e-06,-7.423767873252778e-06,8.11842707870397e-06
-0.42775428997762055,4.8830319230929665e-06,-7.641137267403782e-06,9.068129878936006e-06
-0.42526734643123904,6.6790119410059715e-06,-7.606215323206667e-06,1.0122436072956166e-05
-0.4227804028848575,8.649253596278598e-06,-7.259573883773116e-06,1.129207690138085e-05
-0.420293459338476,1.075639959228583e-05,-6.540456524397141e-06,1.2588792783124833e-05
