Frequency_Hz,Amplitude_m_s2
0.0,1.43008078884853e-17
0.19768928220255513,0.028581442251768938
0.39537856440511027,0.015393487094256676
0.5930678466076654,0.23626654197278896
0.7907571288102205,0.23940837174240126
0.9884464110127756,0.15575366652365327
1.1861356932153309,0.02076034789564781
1.383824975417886,0.2673598305848323
1.581514257620441,0.1970778148402852
1.7792035398229962,0.09634745248288755
1.9768928220255513,0.1405278447721117
2.1745821042281066,0.16655558558387126
2.3722713864306617,0.21088760473745483
2.569960668633217,0.181048150787546
2.767649950835772,0.054775036943624116
2.965339233038327,0.16735379778595125
3.163028515240882,0.2403124920381195
3.3607177974434372,0.1110966062987286
3.5584070796459923,0.14306409130407996
3.7560963618485474,0.145389981238971
3.9537856440511026,0.22326014938240865
4.151474926253658,0.05827283600579539
4.349164208456213,0.04391173009061437
4.546853490658768,0.24198832451262905
4.744542772861323,0.12850760905007788
4.9422320550638785,0.16290282324831845
5.139921337266434,0.13411193022266749
5.337610619468989,0.07326660618688678
5.535299901671544,0.14700019854526422
5.732989183874099,0.21873946138422237
5.930678466076654,0.04961050012843825
6.128367748279209,0.086844095988786
6.326057030481764,0.1851121379630737
6.523746312684319,0.3309659750384902
6.7214355948868745,0.0365906160701024
6.91912487708943,0.03157205785879835
7.116814159291985,0.5180274393142389
7.31450344149454,0.10965576901996084
7.512192723697095,0.11598127343228698
7.70988200589965,0.22969904338783526
7.907571288102205,0.38328974103712593
8.105260570304761,0.2853517851157721
8.302949852507316,0.04136785609214569
8.500639134709871,0.3982852618964374
8.698328416912426,0.2622472971686625
8.896017699114982,0.25628273808803725
9.093706981317537,0.2537556411489977
9.291396263520092,0.24700462746428428
9.489085545722647,0.4579587806505408
9.686774827925202,0.4280986052327838
9.884464110127757,0.11358336356118684
10.082153392330312,0.3388467291006949
10.279842674532867,0.5580206360588504
10.477531956735422,0.20435300575855586
10.675221238937977,0.15136856995936945
10.872910521140533,0.23829382515703643
11.070599803343088,0.6597606062340454
11.268289085545643,0.11521897892677822
11.465978367748198,0.08922556033740378
