Time_s,Real,Imaginary,Magnitude
-0.26361601591644057,6.685093093110702e-08,6.292135277714036e-07,6.327548581377234e-07
-0.26112907237005906,-1.405535041238269e-07,7.871023403019682e-07,7.995532387717042e-07
-0.25864212882367754,-4.4687203183893456e-07,9.036238226092006e-07,1.008082648212299e-06
-0.256155185277296,-8.568241352812348e-07,9.349541066862253e-07,1.2681824712595083e-06
-0.2536682417309145,-1.3600685616546655e-06,8.271783531973289e-07,1.5918575691309935e-06
-0.251181298184533,-1.9247141101777254e-06,5.199838887133397e-07,1.993717043724781e-06
-0.24869435463815148,-2.491057779328394e-06,-4.6573083840402016e-08,2.491493108979215e-06
-0.24620741109176997,-2.9667485179244852e-06,-9.2178879618273e-07,3.106652757128665e-06
-0.24372046754538845,-3.2249388715702568e-06,-2.1304682407280402e-06,3.865116511842259e-06
-0.24123352399900694,-3.1072595475123277e-06,-3.6560503897155518e-06,4.79810028529477e-06
-0.23874658045262542,-2.4335407338678512e-06,-5.422019516752211e-06,5.94309819399242e-06
-0.2362596369062439,-1.0200047427105114e-06,-7.273857237517873e-06,7.345026125681451e-06
-0.2337726933598624,1.292935224717084e-06,-8.964791792922863e-06,9.057547868257243e-06
-0.23128574981348088,4.6031972751799655e-06,-1.0149524881607408e-05,1.1144607686078148e-05
-0.22879880626709936,8.901371871942399e-06,-1.0390767428781856e-05,1.3682195326834113e-05
-0.22631186272071785,1.4020424689400972e-05,-9.18355841105288e-06,1.676037152214665e-05
-0.22382491917433633,1.9586691716233827e-05,-6.001721567800533e-06,2.04855840571897e-05
-0.22133797562795482,2.4980578253508825e-05,-3.6919808879745505e-07,2.4983306368622425e-05
-0.2188510320815733,2.9317575254883903e-05,8.04378934324125e-06,3.0401032315107698e-05
-0.2163640885351918,3.1461642378018545e-05,1.930377846229708e-05,3.691166216853119e-05
-0.21387714498881027,3.0083112785739366e-05,3.308541471241358e-05,4.4717315903035914e-05
-0.21139020144242876,2.377147149983214e-05,4.854595699805596e-05,5.40536104078574e-05
-0.20890325789604725,1.1209146062301135e-05,6.422359135585064e-05,6.519443720202893e-05
-0.20641631434966573,-8.59448205875181e-06,7.798512106289791e-05,7.845727645701864e-05
-0.20392937080328422,-3.601926986757417e-05,8.705149760543303e-05,9.4209081500362e-05
-0.2014424272569027,-7.052300830187872e-05,8.81292599215856e-05,0.0001128727653345715
-0.19895548371052119,-0.00011033803224639903,7.767102754630643e-05,0.000134934316910512
-0.19646854016413967,-0.00015222391629567328,5.2277769876094415e-05,0.0001609505697896408
-0.19398159661775816,-0.00019133469800662546,9.239182780601876e-06,0.0001915576392622856
-0.19149465307137664,-0.00022126431306059686,-5.2813544272640484e-05,0.0002274800358115322
-0.18900770952499513,-0.00023433146438331653,-0.0001331946715978901,0.00026954045288620285
-0.1865207659786136,-0.00022215254507795124,-0.0002284709012947778,0.0003186702151489205
-0.1840338224322321,-0.00017652677653145777,-0.00033189518514975346,0.0003759203595951892
-0.18154687888585058,-9.062093475496096e-05,-0.0004330940692462265,0.00044247330612379106
-0.17905993533946907,3.9606807248915025e-05,-0.0005181434919940846,0.000519655056240461
-0.17657299179308755,0.00021385988435809237,-0.0005701591181416103,0.0006089478386016945
-0.17408604824670604,0.0004260065625102437,-0.0005704969942230608,0.0007120030981107746
-0.17159910470032452,0.0006628581603693866,-0.0005006059250104363,0.0008306547013794854
