Frequency_Hz,GlobalWaveletPower,GlobalWaveletAmplitude
1.0,7.946861358814165,2.819017800371996
1.0422234676157642,6.497165993880393,2.5489539018743343
1.0862297564490278,5.155618576603345,2.2705987264603458
1.1320941433937326,4.043930546099224,2.010952646408966
1.1798950837953142,3.2647182892990494,1.8068531454711667
1.229714345655945,2.8543088419838574,1.6894699884827364
1.2816371495063894,2.774062956049615,1.6655518473015527
1.3357523141837326,2.958952666351654,1.7201606513205834
1.3921524087643515,3.388908418157001,1.8408988071474761
1.4509339109120212,4.105307265812358,2.0261557851785135
1.512197371912029,5.131242016988016,2.265224495935892
1.5760475886736,6.360518337449945,2.5220068075740687
1.642593782994863,7.53610445750554,2.7451966154549914
1.711949788397002,8.359688100147293,2.891312522047261
1.784234244847197,8.64747992891976,2.9406597778253367
1.8595708017034402,8.419536840261378,2.9016438169185026
1.938088329228386,7.885004031866934,2.808024934338535
2.019921139034051,7.353414070427574,2.7117179186684544
2.1052092138344527,7.113942319693215,2.667197465448184
2.1940984468992,7.32248804354189,2.7060096163062486
2.286740891617647,7.94492536434723,2.818674398426897
2.3832950216005084,8.797372060285344,2.9660364226161056
2.4839260017638694,9.678282056327765,3.1109937409657005
2.5888059708593008,10.514570810980818,3.2426178946926227
2.698114335933375,11.398708428957205,3.376197332644703
2.8120380792202866,12.454488455070015,3.5290917323115893
2.93077207799254,13.633074057072497,3.6922992913728563
3.0545194379168437,14.647005934141097,3.8271406995485675
3.1834918404854475,15.140481719552085,3.891077192700253
3.3179099051172347,14.953948414362845,3.8670335419236856
3.458003566547975,14.235273319519282,3.772966116932311
3.604012468155311,13.303654651697585,3.647417531856969
3.7561863718912765,12.41530740902739,3.5235362079915387
3.914785585523602,11.648855882037303,3.4130420275814513
4.0800814079166186,10.974540610405084,3.3127844195487706
4.252356593113467,10.390911411181133,3.223493665447651
4.431905834013475,9.98772325707387,3.160335940540795
4.619036266472058,9.902121809670257,3.1467637041364034
4.814067994685482,10.23455695047738,3.199149410464816
5.017334638759171,10.999777756166285,3.316591285667603
5.229183905396271,12.134461897932608,3.483455453702919
5.449978182682645,13.529999547543314,3.6783147700466463
5.680095159985767,15.050750735269705,3.879529705424319
