Frequency_Hz,GlobalWaveletPower,GlobalWaveletAmplitude
1.0,8.114290879271863,2.848559439308203
1.0422234676157642,7.7557382382317925,2.784912608724337
1.0862297564490278,7.904781718573955,2.8115443653931473
1.1320941433937326,8.968819005609944,2.9947986586096143
1.1798950837953142,11.241188547275488,3.352788175127604
1.229714345655945,14.669899321208774,3.830130457466008
1.2816371495063894,18.762842993944417,4.331609746265748
1.3357523141837326,22.704087364722536,4.7648806243937045
1.3921524087643515,25.651127176756763,5.064694183932211
1.4509339109120212,27.078175222693233,5.203669399826745
1.512197371912029,26.983078697532108,5.1945239144248925
1.5760475886736,25.830517877780455,5.082373252505216
1.642593782994863,24.260495529591605,4.925494445189397
1.711949788397002,22.76205645118793,4.770959699178765
1.784234244847197,21.548175566633095,4.64200124586725
1.8595708017034402,20.693650777098615,4.549027453983831
1.938088329228386,20.35239488151981,4.511362862984955
2.019921139034051,20.811281767190287,4.561938378276309
2.1052092138344527,22.326827563687637,4.725127253703083
2.1940984468992,24.894060063151667,4.989394759201928
2.286740891617647,28.112128195064024,5.302087154608459
2.3832950216005084,31.22132266671067,5.587604376359396
2.4839260017638694,33.32895767737709,5.77312373653788
2.5888059708593008,33.76724423109284,5.810958976889515
2.698114335933375,32.39461126747278,5.691626416717175
2.8120380792202866,29.62502553554038,5.442887610041234
2.93077207799254,26.168251710553527,5.115491345956274
3.0545194379168437,22.708149784326668,4.765306892984613
3.1834918404854475,19.759512002139065,4.4451672636852555
3.3179099051172347,17.71192040107118,4.208553243226368
3.458003566547975,16.856660189756926,4.105686323838796
3.604012468155311,17.256123312481254,4.154049026249119
3.7561863718912765,18.598368882557203,4.312582623273113
3.914785585523602,20.298816601654465,4.505420801840208
4.0800814079166186,21.836463243674213,4.672950164903774
4.252356593113467,22.99411185501451,4.795217602467536
4.431905834013475,23.790010442120867,4.877500429740715
4.619036266472058,24.286551023301087,4.928138697652602
4.814067994685482,24.56973215817079,4.956786474942287
5.017334638759171,24.905025115574915,4.990493474154126
5.229183905396271,25.834679581748894,5.082782661274127
5.449978182682645,28.04174020894585,5.295445232362039
5.680095159985767,31.98120308502998,5.655192577183378
5.919928474027884,37.43601637950471,6.118497885878911
6.169888382238642,43.34192339616799,6.583458315822163
6.4304024645389735,48.24360195322703,6.945761437972588
6.701916354756766,51.295982264224946,7.162121352240895
6.984894502925397,53.084770711725604,7.285929639498696
7.279820969769196,55.45881328649901,7.447067428625782
7.587200254734807,60.34061097464388,7.767921921250489
7.907558158984918,68.43257464112531,8.272398360882129
8.241442684830592,78.81595849452704,8.877835236955406
8.58942497314071,89.5274260745667,9.461893366264846
8.952100280332155,98.41309161640447,9.920337273319111
9.330088996611831,103.7236137306467,10.184479060347009
9.724037707212469,104.45780475868165,10.220460105038406
10.134620298437424,100.56196881141611,10.02805907498635
10.562539110406561,92.89212669830188,9.638056168040414
11.008526138475059,82.86610016689778,9.103081904876928
11.473344285380252,71.95828401241711,8.48282287993903
11.957788666258516,61.298408219333986,7.8293299981118425
12.462687968764433,51.52905553869084,7.178374157056098
12.988905870618936,42.89312375375999,6.5492842169018735
13.537342517011222,35.41076325539823,5.950694350695406
14.108936060381751,29.018483894782275,5.386880720303938
14.704664265220165,23.631341347773418,4.861207807507658
15.32554618062337,19.157543922567122,4.376933164050729
15.972643883474825,15.499264256561593,3.9369104963869312
16.647064295226855,12.550139570622518,3.542617615637132
17.34996107539391,10.193576846196844,3.1927381424408807
18.08253659499557,8.31076637654549,2.8828399845543786
18.846043993325242,6.798817861201374,2.6074542874615028
19.641789321562676,5.58356111297444,2.3629560116460993
20.471133776897336,4.613758776434696,2.1479661953659086
21.33549603098413,3.8445546989321704,1.9607536048499745
22.236354656714663,3.2293037183024444,1.7970263543705876
23.1752506574551,2.7256813338481485,1.6509637590959254
24.15379010307737,2.3044293229367283,1.5180346909529863
25.17364687729262,1.9495912767366725,1.3962776503033603
26.236565540986675,1.6517778238996876,1.2852150885745497
27.344364316455398,1.4023107802453925,1.1841920368949423
28.498938197644904,1.191803063637769,1.091697331515365
29.702262191716823,1.0112959835665218,1.0056321313315928
30.95639469748371,0.8535665642379303,0.9238866620088907
32.26348102649374,0.7140145486820275,0.8449938157655519
33.625757072787714,0.5910296698144898,0.7687845405667896
35.04555313760611,0.48528991111200914,0.6966275268118604
36.52529791558836,0.39784872219241174,0.6307525047056188
38.06752264928336,0.3281013577004832,0.5728013248068506
39.67486545907774,0.2731846678063469,0.522670706856953
41.3500758559489,0.22920105365909282,0.47874946857317013
43.09601944476195,0.19301606793390408,0.43933593972483526
44.915682826156214,0.16306197825596133,0.4038093340376883
46.812178705406346,0.1387955236854208,0.3725527126265769
48.78875121699743,0.11970598508491116,0.34598552727666393
50.84878147402189,0.1048275221533198,0.3237707864420751
52.995793351891315,0.09291431420638066,0.3048184938719773
