Frequency_Hz,PSD_(m_s2)^2_per_Hz
0.0,9.851723116325903e-05
0.3926757812499972,0.0007934947609215434
0.7853515624999944,0.0007302022948515487
1.1780273437499915,0.0005267548708232613
1.5707031249999888,0.0007922652487906236
1.963378906249986,0.0005723766153384016
2.356054687499983,0.0009848832846030971
2.7487304687499803,0.0007042320953448481
3.1414062499999775,0.0003064955746618228
3.5340820312499748,0.0002894073130738278
3.926757812499972,3.7983236663025784e-05
4.319433593749969,0.00024784681310721776
4.712109374999966,0.0002076874142902798
5.104785156249964,0.0007287920859646733
5.497460937499961,0.0004162047294316118
5.890136718749958,0.0008413563245029047
6.282812499999955,0.00038621150653351806
6.675488281249952,0.0012954779468777303
7.0681640624999496,0.0025357379678298164
7.460839843749946,0.0018232766060685452
7.853515624999944,0.0015061041623262508
8.246191406249942,0.0027470218567833076
8.638867187499939,0.004803628536248353
9.031542968749935,0.006274083413502467
9.424218749999932,0.004346381885504732
9.816894531249929,0.0051996184011678034
10.209570312499928,0.00776239369757043
10.602246093749924,0.00559543378602199
10.994921874999921,0.0035933637780945723
11.387597656249918,0.0021342374842852844
11.780273437499917,0.00185688814634363
12.172949218749913,0.0017193934576208636
12.56562499999991,0.0031042128294945332
12.958300781249907,0.004631020325834266
13.350976562499904,0.0057803201732009035
13.743652343749902,0.0024505918476184305
14.136328124999899,0.0026746655112651245
14.529003906249896,0.0026698907761860246
14.921679687499893,0.0012635114057687716
15.314355468749891,0.0009238518196612369
15.707031249999888,0.0017048940521965526
16.099707031249885,0.0013220399702175648
16.492382812499883,0.0008454949622679098
16.88505859374988,0.001948784547439061
17.277734374999877,0.0007938435267770222
17.670410156249872,0.0003778186652416957
18.06308593749987,0.00018359045521456512
18.45576171874987,0.00084278121820842
18.848437499999864,0.0012926835778085883
19.241113281249863,0.0005905417870554915
19.633789062499858,0.0004320000613501988
20.026464843749856,0.0003690060496933593
20.419140624999855,0.00046575708895601965
20.81181640624985,0.00017167073867362768
21.20449218749985,0.0002724041049649426
21.597167968749847,0.00017284552583004073
21.989843749999842,0.0002460522771369617
22.38251953124984,0.00033244169390886786
22.775195312499836,0.0007335427403422497
23.167871093749834,0.00029294804225391024
23.560546874999833,0.0005950124891600658
23.953222656249828,0.0005329643628415703
24.345898437499827,0.0004446761712936075
24.73857421874982,0.00029372807465731694
25.13124999999982,0.00026748117005800996
25.52392578124982,0.00024673641030809864
25.916601562499814,0.0002706873609590888
26.309277343749812,0.0001008690887483055
26.701953124999807,0.0002167069679523368
27.094628906249806,0.00024057297984785394
27.487304687499805,0.0002204774518929778
27.8799804687498,0.00011821720180583941
28.272656249999798,9.158055511737821e-05
28.665332031249793,0.00014466358897769507
29.058007812499792,0.0001980522461721481
29.45068359374979,0.0002899842809208203
29.843359374999785,0.0001629840641133582
30.236035156249784,0.0001443505411689815
30.628710937499783,1.747503176006539e-05
31.021386718749778,3.5122010220868104e-05
31.414062499999776,4.980077947948846e-05
31.80673828124977,0.00017652148991296703
32.19941406249977,5.1399809644692606e-05
32.59208984374977,0.0001443703679457383
32.98476562499977,0.0001328354325472556
