Frequency_Hz,PSD_(m_s2)^2_per_Hz
0.0,0.0018755671346470891
0.3926757812499972,0.005913887545105717
0.7853515624999944,0.0005751038350787765
1.1780273437499915,0.001307332385306499
1.5707031249999888,0.0003259756695736632
1.963378906249986,0.00031784674656988327
2.356054687499983,0.0010377342595970867
2.7487304687499803,0.0006324640036818795
3.1414062499999775,0.0002568455264485097
3.5340820312499748,0.0007533350962338612
3.926757812499972,0.0007474375202368576
4.319433593749969,0.00018557358786828277
4.712109374999966,0.0009150604083714643
5.104785156249964,0.001556508778456982
5.497460937499961,0.0004016667997860056
5.890136718749958,0.0009497119189903519
6.282812499999955,0.0003547781556345524
6.675488281249952,0.00029334378170918046
7.0681640624999496,0.0006166763120695898
7.460839843749946,0.0004582752461062299
7.853515624999944,0.0002890437537565693
8.246191406249942,0.0009429205773659878
8.638867187499939,0.0019209230245035174
9.031542968749935,0.0005840564359365225
9.424218749999932,0.0012185780889262389
9.816894531249929,0.0025523519775834005
10.209570312499928,0.0006076869910040131
10.602246093749924,0.0010562648709446939
10.994921874999921,0.0025443507450667114
11.387597656249918,0.00047111321539644764
11.780273437499917,0.0013684513894502471
12.172949218749913,0.0030319163178491194
12.56562499999991,0.0011176011233392238
12.958300781249907,0.0015614069097429158
13.350976562499904,0.0035058815045379815
13.743652343749902,0.002567669985289081
14.136328124999899,0.001504942445838647
14.529003906249896,0.005241209725012781
14.921679687499893,0.005072989104049108
15.314355468749891,0.0013000294800339443
15.707031249999888,0.00866444664311644
16.099707031249885,0.00908134163631178
16.492382812499883,0.002054911898667278
16.88505859374988,0.012440156941302566
17.277734374999877,0.01647584047090076
17.670410156249872,0.0062040979443396095
18.06308593749987,0.010406840462577577
18.45576171874987,0.019439340136786495
18.848437499999864,0.011221484090124415
19.241113281249863,0.00732803682124725
19.633789062499858,0.015971096807333232
20.026464843749856,0.008825808303358393
20.419140624999855,0.005105483021119
20.81181640624985,0.00972046185647171
21.20449218749985,0.004720498010111072
21.597167968749847,0.0037582230332623735
21.989843749999842,0.00551891654209918
22.38251953124984,0.002264765606711887
22.775195312499836,0.002465401640161046
23.167871093749834,0.00310302982776709
23.560546874999833,0.0014454613462895768
23.953222656249828,0.0016879392373909444
24.345898437499827,0.0018028115811317346
24.73857421874982,0.001147989076444284
25.13124999999982,0.0009480446675603839
25.52392578124982,0.001244500065432398
25.916601562499814,0.0009164507937355924
26.309277343749812,0.000503204215395057
26.701953124999807,0.0010280057307565792
27.094628906249806,0.0006767648519930597
27.487304687499805,0.0003067500210158938
27.8799804687498,0.000810586735061724
28.272656249999798,0.0004249028528938452
28.665332031249793,0.0002614191931622871
29.058007812499792,0.0005863053406540589
29.45068359374979,0.0003158958343238391
29.843359374999785,0.00024519624057654766
30.236035156249784,0.00043146224785519803
30.628710937499783,0.0003126139647035796
31.021386718749778,0.00018309109069597024
31.414062499999776,0.0003087462874793538
31.80673828124977,0.0002940732217411722
32.19941406249977,0.00010206061730757104
32.59208984374977,0.00027489047858382125
32.98476562499977,0.00026546706291833013
33.37744140624976,5.824965372114789e-05
33.77011718749976,0.00023397392544020836
34.162792968749756,0.00020336336840865699
34.555468749999754,6.103054441624596e-05
34.94814453124975,0.00019767300500837774
35.340820312499744,0.00017857072005511617
35.73349609374974,7.597859922816657e-05
36.12617187499974,0.00012707591737025294
36.51884765624974,0.00016578984757621368
36.91152343749974,7.555729209509534e-05
37.30419921874973,7.094381424038825e-05
37.69687499999973,0.00016314985934864012
38.08955078124973,6.0805545205799274e-05
38.482226562499726,4.9211650551190934e-05
38.874902343749724,0.00016073619765370647
39.267578124999716,4.0602698315387586e-05
39.660253906249714,5.0334255835197356e-05
40.05292968749971,0.00013492250004426188
40.44560546874971,3.852094074560223e-05
40.83828124999971,4.80526094690394e-05
41.2309570312497,0.00011140355657146344
41.6236328124997,6.382073432099824e-05
42.0163085937497,3.769053931055676e-05
42.4089843749997,9.060149939529725e-05
42.801660156249696,7.686525368152666e-05
43.194335937499694,1.670592963247662e-05
43.587011718749686,7.881917222865917e-05
43.979687499999685,6.911953120457478e-05
44.37236328124968,9.246021085378383e-06
44.76503906249968,7.236434760419463e-05
45.15771484374968,5.689941399893342e-05
45.55039062499967,1.507739530094329e-05
45.94306640624967,7.022919939858755e-05
46.33574218749967,6.293940143411676e-05
46.72841796874967,2.1892952880553884e-05
47.121093749999666,4.408198613451205e-05
47.51376953124966,5.949196182856647e-05
47.906445312499656,2.2104857236207743e-05
48.299121093749655,2.8517819355105233e-05
48.69179687499965,6.056187028323563e-05
49.08447265624965,1.8633100993862195e-05
49.47714843749964,2.3261529529354264e-05
49.86982421874964,6.839633022708187e-05
50.26249999999964,1.5959359566893567e-05
50.65517578124964,2.4854606459799815e-05
51.04785156249964,5.619761226736347e-05
51.44052734374963,1.4283692663662483e-05
51.83320312499963,2.0238219159435383e-05
52.225878906249626,4.221037727010049e-05
52.618554687499625,2.4557913209026233e-05
53.01123046874962,1.7127627960143913e-05
53.403906249999615,3.268243805150747e-05
53.79658203124961,2.9072124764336712e-05
54.18925781249961,8.900001689619528e-06
54.58193359374961,3.557631310870868e-05
54.97460937499961,3.185922430466865e-05
55.3672851562496,7.888167902300692e-06
55.7599609374996,3.392525533463346e-05
56.1526367187496,2.8873149568886816e-05
56.545312499999596,1.1108389243272735e-05
56.937988281249595,3.200301255554085e-05
57.33066406249959,2.598473668561572e-05
57.723339843749585,1.0033766489973283e-05
58.116015624999584,1.8046865543699443e-05
58.50869140624958,2.7717893316772784e-05
58.90136718749958,1.5135889075253768e-05
59.29404296874958,1.76658343870015e-05
59.68671874999957,2.934912114823235e-05
60.07939453124957,8.6889199789966e-06
60.47207031249957,1.4284100145062327e-05
60.86474609374957,3.0474668676665857e-05
61.257421874999565,9.13642621858259e-06
61.65009765624956,1.6242497434595123e-05
62.042773437499555,2.4544722964215506e-05
62.435449218749554,5.421088086899136e-06
62.82812499999955,1.3698346015472925e-05
63.22080078124955,1.9977470903972363e-05
63.61347656249954,1.3062585313068551e-05
64.00615234374955,1.040413237233557e-05
64.39882812499954,1.5009621053359733e-05
64.79150390624953,1.5340159980749197e-05
65.18417968749954,7.84503689358e-06
65.57685546874953,1.7903143243387385e-05
65.96953124999953,1.4389969972141832e-05
66.36220703124953,5.493390943223479e-06
66.75488281249952,1.7662555965307122e-05
67.14755859374952,1.0404954812660705e-05
67.54023437499951,7.300551242350306e-06
67.93291015624952,1.7634445129737748e-05
68.32558593749951,1.0352270363088913e-05
68.7182617187495,9.186201263699208e-06
69.11093749999951,1.5929281675757967e-05
69.5036132812495,1.4875225862102546e-05
69.8962890624995,8.845860299256198e-06
70.2889648437495,1.2847536664847492e-05
70.68164062499949,1.639182565726841e-05
71.0743164062495,5.974375849239356e-06
71.46699218749949,1.5570203438017485e-05
71.85966796874949,1.4334659071436148e-05
72.25234374999948,2.0792021208345257e-06
72.64501953124947,1.616678906384698e-05
73.03769531249948,1.237276516702968e-05
73.43037109374947,5.431923078091561e-06
73.82304687499948,1.8175974942683258e-05
74.21572265624947,1.3376793270978653e-05
74.60839843749946,6.8693685333071095e-06
75.00107421874947,1.409747179537049e-05
75.39374999999946,1.1200209911936484e-05
75.78642578124946,5.929500725692822e-06
76.17910156249945,8.199200959340107e-06
76.57177734374945,1.3547269688854063e-05
76.96445312499945,6.967317129320495e-06
77.35712890624944,5.330363898277033e-06
