axis,RMS,P2P,CrestFactor,Kurtosis
ax,2.0283780211316507,16.830798610203736,5.143295799901808,7.866773826507078
ay,1.6241403381641617,13.36434714842835,5.086359325930966,6.406684691760116
az,6.5745099074921205,61.413009956740765,5.553901992298441,4.7063630051083205
aabs,7.069393874892953,36.451410040462534,5.190277573041729,5.735899859198913
