Class,File,Number of samples,Duration (s),Non-monotonic samples,Expected dt (s),Mean dt (s),Std dt (s),Min dt (s),Max dt (s),Measured Fs (Hz),Fs error (%),Maximum dt deviation (%),RMS dt deviation (%),Large dt deviations,Sampling PASS,X mean (m/s^2),X RMS (m/s^2),Y mean (m/s^2),Y RMS (m/s^2),Z mean (m/s^2),Z RMS (m/s^2),Mean magnitude (m/s^2),RMS magnitude (m/s^2),X low-frequency power < 0.3 Hz (%),Y low-frequency power < 0.3 Hz (%),Z low-frequency power < 0.3 Hz (%),Average low-frequency power < 0.3 Hz (%)
servo_only,servo_only_trial01.csv,2011,4.998756528226809,0,0.002486943546381497,0.002486943546381497,3.231077248133181e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2992161614743521e-11,0,True,0.012175652549649665,1.996634636995242,-0.007622833743714621,1.5991643982973087,-0.00026859398744456483,0.180322313080502,1.4715246273102922,2.5644478514926785,0.06285063910089024,0.014111089588292167,0.0389119970737121,0.03862457525429817
servo_only,servo_only_trial02.csv,1903,4.730166625217607,0,0.002486943546381497,0.002486943546381497,3.1581965493743415e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2699108325034228e-11,0,True,0.058725872582068066,1.985843415295139,0.01858902266399629,1.5973760891763757,-0.002073811718214127,0.1830853436846173,1.5543220538567963,2.5551330069911407,0.13551940599179638,0.051672838903803545,0.031981376207247836,0.07305787370094925
servo_only,servo_only_trial03.csv,2225,5.530962447152449,0,0.002486943546381497,0.002486943546381497,3.3666531811601276e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.3537312441444874e-11,0,True,0.02681913231297502,1.9956535611240707,-0.0026429329650355495,1.5994030575366038,0.00037725320324885446,0.18116939666796505,1.5246622513885437,2.563892670681372,0.01463438731881883,0.00033867473566585144,0.0013825406403863733,0.005451867564957018
servo_only,servo_only_trial04.csv,2046,5.085799552350162,0,0.002486943546381497,0.002486943546381497,3.2368626478016574e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.3015424706810465e-11,0,True,-0.004776769822056118,1.9989899810668343,0.040932068786340516,1.5936194714023577,0.002599265898526635,0.1797506137582844,1.2497397550574976,2.5627903244676093,0.0014293984280403375,0.08121682734697938,0.01690053865897853,0.03318225481133275
servo_only,servo_only_trial05.csv,1957,4.864461576722208,0,0.002486943546381497,0.002486943546381497,3.1832059215749603e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2799671010652914e-11,0,True,0.028585878151719923,1.9996589554975115,-0.04096221009736121,1.5989358935777616,0.003575269433600591,0.18103429896648923,1.4244093542382916,2.5667109980430216,0.05547604774319333,0.11405662823510902,0.04471481626607596,0.0714158307481261
servo_only,servo_only_trial06.csv,1940,4.822183536433723,0,0.002486943546381497,0.002486943546381497,3.1775241754120634e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2776824709331908e-11,0,True,0.0049037485520866415,1.9857916913604925,-0.002301404881351142,1.5964810076121514,0.0027200647382957578,0.1863344528776536,1.4781662762275454,2.5547682433974104,0.09294882195878641,0.0319612709774623,0.13868611953252674,0.08786540415625849
servo_only,servo_only_trial07.csv,2034,5.055956229793583,0,0.002486943546381497,0.002486943546381497,3.236305704294189e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.3013185236966935e-11,0,True,-0.0005205325185382542,1.9984874542370354,-0.010432494643181068,1.6010674704563166,0.0020710150916980756,0.1807731152492208,1.1513039914208436,2.567108893072735,0.0008317676954275002,0.005741160586301417,0.01479649842178821,0.007123142234505709
servo_only,servo_only_trial08.csv,2040,5.070877891071873,0,0.002486943546381497,0.002486943546381497,3.2365850074637556e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.301430831501176e-11,0,True,-0.03476195949402957,1.9989217804830453,0.11486598757975973,1.6097203376841815,-0.010907569094244724,0.18049513071715445,1.2874467628847484,2.5728323579775236,0.02074566867851925,0.3546265729343856,0.27389471568922896,0.21642231910071127
servo_only,servo_only_trial09.csv,1920,4.772444665506093,0,0.002486943546381497,0.002486943546381497,3.160392472812384e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2707938133178597e-11,0,True,-0.4201041552611945,2.408720033939591,0.31964029193024623,1.8776331936429014,-0.012394531246451382,0.18629948188732406,1.709405136299812,3.059762426843475,4.34360046089606,4.849614002465116,0.5486902479141311,3.2473015704251025
servo_only,servo_only_trial10.csv,2006,4.986321810494902,0,0.002486943546381497,0.002486943546381497,3.218030222062107e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2939699522911734e-11,0,True,0.011208083619215934,1.9992846296364735,0.0031954660815194528,1.6054319492244105,-0.001336164284419327,0.1830489238781263,1.1429808238958472,2.570614261693901,0.005626566579557677,0.0009924955132366595,0.02288506611889717,0.009834709403897168
servo_only,servo_only_trial11.csv,1910,4.747575230042278,0,0.002486943546381497,0.002486943546381497,3.1582053480121383e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.269914370435681e-11,0,True,0.1544065187768077,2.0074219364582313,0.08369352436722892,1.6001659656444096,0.007941907006854437,0.18250039811927124,1.0521890476227775,2.5736317420901758,1.4783896896920674,0.8358438783782742,0.26326689368470213,0.8591668205850146
servo_only,servo_only_trial12.csv,1881,4.675453867197215,0,0.002486943546381497,0.002486943546381497,3.150943325252999e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2669943110842311e-11,0,True,0.004550659707089965,1.999364384606842,0.003597934096941138,1.6002494731752146,0.0015651087710778276,0.18128776568890512,1.4178251298910332,2.567317972675049,0.0028568432734241544,0.028880727329624427,0.08665760614310294,0.03946505891538384
servo_only,servo_only_trial13.csv,1831,4.551106689878139,0,0.002486943546381497,0.002486943546381497,3.097755764919334e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2456075930740644e-11,0,True,-0.0042079663406334265,1.998730990261912,0.028038082013151486,1.5963026282157071,0.0005238120254870962,0.18105260123683586,1.5586552140832237,2.5643493710289094,0.030049484749533596,0.17560367784014258,0.0038506696136539867,0.06983461073444339
servo_only,servo_only_trial14.csv,2148,5.339467794081074,0,0.002486943546381497,0.002486943546381497,3.302680900955178e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.328007990274077e-11,0,True,0.2273353607163087,2.1376357624893045,-0.01851126556041513,1.607517479745315,0.00814299962141078,0.18238311993274148,1.8486257680041929,2.680832464589378,2.399826360426637,0.043583821962668766,0.29858134476281933,0.913997175717375
servo_only,servo_only_trial15.csv,2287,5.685152947028102,0,0.002486943546381497,0.0024869435463814966,3.3479155313967457e-16,0.002486943546379905,0.0024869435463825695,402.1000000000001,1.4136637369014676e-14,6.401602772182491e-11,1.346196940906923e-11,0,True,0.029486441373874128,2.0242287116626043,0.09409303207194814,1.6424486285852027,-0.000255140089863187,0.1822498706484631,1.603096463733156,2.6131120125268343,0.019979551963697138,0.23459698642004984,0.005174338457951482,0.08658362561389948
piston_only,piston_only_trial01.csv,2092,5.20019895548371,0,0.002486943546381497,0.002486943546381497,3.258475495880529e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.3102329968935606e-11,0,True,-0.10169756629376368,0.4687338461727451,0.14773927767602835,0.5787553625639796,1.1594745250310092,4.966583470670594,3.0603460748803943,5.022113156768057,11.525922313964028,15.308119766278272,8.545837322200468,11.79329313414759
piston_only,piston_only_trial02.csv,2160,5.369311116637652,0,0.002486943546381497,0.002486943546381497,3.3138768977516776e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.3325099005859496e-11,0,True,0.005533187789386155,0.340835436577315,0.013644109887909869,0.34434375015788393,0.0611649143249968,3.407950213305649,1.6108296723513673,3.4422181902763898,0.01921722806233308,0.22387401827495412,0.06934490973294327,0.10414538535674349
piston_only,piston_only_trial03.csv,1953,4.854513802536682,0,0.002486943546381497,0.002486943546381497,3.1816603277205537e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2793456177764346e-11,0,True,0.09611390556457494,0.4426030106559577,-0.18261167848299834,0.6451359961656832,2.0123470740945497,6.940779402300957,4.30785900017525,6.984734539694092,6.556566314536802,22.056651889134073,26.562237550752027,18.391818584807634
piston_only,piston_only_trial04.csv,1819,4.521263367321562,0,0.002486943546381497,0.002486943546381497,3.063869058184116e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2319817482958329e-11,0,True,-0.10380757138459305,0.472814324751314,0.14378438148684686,0.56492058540993,0.8936462200223267,4.452959375165335,2.6880438515325746,4.513483782000638,12.711948736390616,16.07785633192263,7.132287283527799,11.974030783947015
piston_only,piston_only_trial05.csv,1937,4.814722705794578,0,0.002486943546381497,0.002486943546381497,3.1791573274729895e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2783391613768891e-11,0,True,0.16078005398339879,0.5886254552621732,0.21774750301971763,0.7310489402361993,-1.800883497432727,6.355073729031273,3.933079565182962,6.424007672864853,21.073832384640102,31.102293498815776,18.746474809989973,23.640866897815286
piston_only,piston_only_trial06.csv,1822,4.528724197960706,0,0.002486943546381497,0.002486943546381497,3.0945188079559757e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.244306012679098e-11,0,True,-0.03843435388933451,0.3573553782413073,-0.22430610538218831,0.75959082055451,0.34470864586853106,3.561709133769135,1.963777918246477,3.659296795096449,2.2255699361406496,35.62018222044171,1.1627101942425981,13.002820783608321
piston_only,piston_only_trial07.csv,2139,5.31708530216364,0,0.002486943546381497,0.002486943546381497,3.3009317194416765e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.3273046443874982e-11,0,True,0.13767107413818824,0.5578272058854541,0.08892577759393533,0.44441097119602974,-2.699199410378077,9.329373212448319,5.322042349225218,9.356595365841875,13.74193223125128,5.329690539243174,30.03933183792926,16.370318202807905
piston_only,piston_only_trial08.csv,1811,4.501367818950509,0,0.002486943546381497,0.002486943546381497,3.049771740689347e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2263132169311866e-11,0,True,0.22242659729925368,0.7575777532676641,-0.011036803114821093,0.34272523468534516,1.9581543324734185,6.928187014430843,4.341166267325239,6.977905125871543,30.880841507142083,0.24725966152502848,22.13537913472416,17.754493434463757
piston_only,piston_only_trial09.csv,2297,5.710022382491917,0,0.002486943546381497,0.002486943546381497,3.3947542893506103e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.3650306997478807e-11,0,True,0.0705429291611268,0.4221369792424055,0.15709465680836016,0.6583806566436949,-1.2999467821831716,5.806499931470422,3.327756320546382,5.858933876777625,6.268839572732397,13.16768322013105,11.215334877034609,10.21728588996602
piston_only,piston_only_trial10.csv,1815,4.511315593136035,0,0.002486943546381497,0.0024869435463814966,3.001429675013676e-16,0.002486943546379905,0.0024869435463825695,402.1000000000001,1.4136637369014676e-14,6.401602772182491e-11,1.206875204299229e-11,0,True,-0.05787232365688654,0.38325857262245766,-0.02973784079546047,0.35364640727554675,-2.2887244867489325,7.7383206481904585,4.590626935256943,7.755872573029956,4.754366279349596,1.7705103969910425,33.85954899584388,13.461475224061507
piston_only,piston_only_trial11.csv,2159,5.366824173091271,0,0.002486943546381497,0.0024869435463814975,3.2425894149220826e-16,0.002486943546379905,0.0024869435463825695,402.09999999999997,-1.4136637369014676e-14,6.401602772182491e-11,1.3038458684103666e-11,0,True,-0.06848419402408515,0.40534825877930675,0.1287078532008626,0.5397281632421831,-1.2476592919909453,5.323773271379284,3.125840468138719,5.366393159855573,3.794480240844301,9.24759401643219,11.817781226379513,8.286618494552002
piston_only,piston_only_trial12.csv,2211,5.496145237503108,0,0.002486943546381497,0.002486943546381497,3.343533083537071e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.3444346528902562e-11,0,True,0.15513777591970546,0.6210511927693529,0.15201320799504073,0.6160807984024597,1.4973771272622756,6.080082984377442,3.479553335327825,6.142692343843745,14.608119749560672,13.927092453504722,16.66812945600857,15.067780553024654
piston_only,piston_only_trial13.csv,1997,4.963939318577468,0,0.002486943546381497,0.002486943546381497,3.215720282417284e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2930411255599899e-11,0,True,-0.0672017879307732,0.4006754532708915,0.09487058427014476,0.44600081441089756,0.18055210740360977,3.4513002181559385,1.70095036191332,3.502988829721306,4.9819138142160995,5.85831090496551,0.35107860633649524,3.730434441839368
piston_only,piston_only_trial14.csv,1960,4.871922407361352,0,0.002486943546381497,0.002486943546381497,3.210469558076474e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2909298093025503e-11,0,True,-0.17013796129288827,0.614146102474044,0.10820774152703982,0.4721847853913897,-0.8196353079023501,4.163680437555323,2.377139413427397,4.23513502651569,16.133312057607714,9.250270806629768,8.14005166774794,11.174544843995141
piston_only,piston_only_trial15.csv,1997,4.963939318577468,0,0.002486943546381497,0.002486943546381497,3.215720282417284e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2930411255599899e-11,0,True,0.045196893472276053,0.3631757796496355,-0.01119461991527933,0.34273941572387734,-2.0441771461781437,7.052535281485685,4.277498219255758,7.070192419631536,1.7481861425164285,0.27372195368754737,23.8787728146706,8.63356030362486
both_simultaneous,both_simultaneous_trial01.csv,1913,4.755036060681422,0,0.002486943546381497,0.002486943546381497,3.1603917307472343e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.2707935149334631e-11,0,True,0.14250838818490213,2.0605125142075362,0.13239819621286114,1.700131079261677,1.4091163212991633,5.383555788559912,4.206397008739204,6.009894378141289,0.4336869212057354,0.626493888973392,14.248217521748591,5.102799443975907
both_simultaneous,both_simultaneous_trial02.csv,2062,5.125590649092265,0,0.002486943546381497,0.002486943546381497,3.2422020940716554e-16,0.002486943546379905,0.0024869435463825695,402.1,0.0,6.401602772182491e-11,1.3036894620262127e-11,0,True,-0.03092667569608531,2.0349570280516547,0.23440438910294575,1.719550580041099,-0.01985132007173376,3.409605442321832,2.488659230512208,4.327044438834337,0.2695668351293497,5.694668853220312,0.0029481048053828555,1.989061264385015
