axis,Fs_Hz,Nyquist_Hz,FFT_DominantFrequency_Hz,FFT_DominantAmplitude_m_s2,PSD_SpectralCentroid_Hz,PSD_SpectralBandwidth_Hz,PSD_SpectralRMS_m_s2,PSD_TotalSpectralPower,PSD_F95_Hz,CWT_DominantFrequency_Hz,CWT_DominantAmplitude,CWT_GlobalWaveletPower,CWT_MeanWaveletPower
ax,402.0999999999994,201.0499999999997,0.2252661064425767,0.8184313051782648,10.598648501285764,12.571564682802205,1.6066757533658627,2.5814069764537626,20.811816406249967,8.589424973140728,8.971011566316307,792.3731382877554,18.498834312300037
ay,402.0999999999994,201.0499999999997,10.587507002801104,0.6002900609475527,12.149863902759716,14.958235283158142,1.4513692312509971,2.1064726454221105,26.70195312499996,11.008526138475082,6.554563261270251,528.687409928059,14.196023045292732
az,402.0999999999994,201.0499999999997,0.2252661064425767,5.144903748422046,11.272359924383972,13.965410039972811,4.5663806114230026,20.851831888379916,23.953222656249963,1.0,24.205709270406363,2623.108484749278,75.30720476990136
aabs,402.0999999999994,201.0499999999997,0.2252661064425767,3.6426379687625356,11.66995265455537,19.048088995855597,3.4822627955474603,12.126154177254014,38.874902343749945,1.1320941433937328,28.123599433012103,2174.932819402479,113.96885943940143
