axis,RMS_mean,RMS_std,RMS_min,RMS_max,P2P_mean,P2P_std,P2P_min,P2P_max,CrestFactor_mean,CrestFactor_std,CrestFactor_min,CrestFactor_max,Kurtosis_mean,Kurtosis_std,Kurtosis_min,Kurtosis_max
aabs,6.034056245340391,1.4994029542096021,4.304513770954654,8.784719234866367,30.979667163212245,8.671440047742575,20.76276727045939,49.1094567780581,5.142834281756106,0.4731686467960822,4.265611453179245,6.034444706360164,5.871810115371946,1.511901215553794,3.528226679744562,9.343366527823497
ax,2.060308585675519,0.043009154817086837,2.0041107870943478,2.1672297460650136,18.89745277929709,4.321653449987519,12.199073248995703,26.166674988458272,5.766847320640323,1.2850411904101111,3.752047647288258,8.531309618484991,8.315820927565689,4.186137891469682,2.2812683873879074,19.391464953339245
ay,1.6718168328277492,0.04717655171156424,1.6176104028436042,1.7932662034477576,15.608882216559094,2.2930090375536456,12.122560542159178,19.077018899573115,5.799904904208824,1.1062387782329695,3.6426108658094045,8.04493487808231,8.12580918662606,3.23348428909464,3.221800741923163,15.417672570319006
az,5.369227840621012,1.6805321418216466,3.409605442321832,8.379821052044198,52.064115597467634,12.074681855451894,36.62895249790779,79.90436268576318,5.862885516130586,0.6727800806960036,4.682313053587596,7.068226607462341,6.923633096495807,3.046838448790803,3.3433491644257805,12.435231606752282
