class,file,axis,RMS,P2P,CrestFactor,Kurtosis
servo_only,servo_only_trial01.csv,ax,1.996634636995242,14.820701803701962,4.819393772339777,6.654353975188712
servo_only,servo_only_trial01.csv,ay,1.5991643982973087,19.278568767227092,7.0729570084982765,11.698002717854497
servo_only,servo_only_trial01.csv,az,0.180322313080502,1.5347598796141106,5.083789330542349,6.087749720792933
servo_only,servo_only_trial01.csv,aabs,2.5644478514926785,13.868211896545809,5.427203959330878,6.4570513816189035
servo_only,servo_only_trial02.csv,ax,1.985843415295139,15.87008032521631,5.494787395625012,6.196131293554805
servo_only,servo_only_trial02.csv,ay,1.5973760891763757,15.017896305341472,6.834451479070518,10.57999523597187
servo_only,servo_only_trial02.csv,az,0.1830853436846173,2.2986250361950997,6.807440183205157,10.10991234746262
servo_only,servo_only_trial02.csv,aabs,2.5551330069911407,14.099032298381765,5.5374134229857015,7.0212532225571636
servo_only,servo_only_trial03.csv,ax,1.9956535611240707,15.861100471032255,5.454855860530071,7.175970197032463
servo_only,servo_only_trial03.csv,ay,1.5994030575366038,15.901722478464595,7.088530311255246,9.294721069219904
servo_only,servo_only_trial03.csv,az,0.18116939666796505,1.340903516492908,4.896589768421895,6.4964936011000205
servo_only,servo_only_trial03.csv,aabs,2.563892670681372,11.90889211309085,4.655493816498655,4.689908669006656
servo_only,servo_only_trial04.csv,ax,1.9989899810668343,19.77150204329451,6.670214012376949,9.925250370220148
servo_only,servo_only_trial04.csv,ay,1.5936194714023577,14.344939420346837,6.281143157991316,10.78997096603295
servo_only,servo_only_trial04.csv,az,0.1797506137582844,1.917034377048077,6.203207490839224,7.88499279045673
servo_only,servo_only_trial04.csv,aabs,2.5627903244676093,14.618485963478909,5.707642007199422,8.683666080942869
servo_only,servo_only_trial05.csv,ax,1.9996589554975115,21.321219209402116,6.71017765007989,8.592380058081387
servo_only,servo_only_trial05.csv,ay,1.5989358935777616,16.136439335089463,6.975470378238569,11.578250298300135
servo_only,servo_only_trial05.csv,az,0.18103429896648923,1.814770937814293,6.757193644691494,10.350751442271342
servo_only,servo_only_trial05.csv,aabs,2.566710998043021,13.650411896480787,5.3262694268000885,6.023183576089224
servo_only,servo_only_trial06.csv,ax,1.9857916913604925,19.127957438079473,6.9271675431006265,12.519039576335011
servo_only,servo_only_trial06.csv,ay,1.5964810076121514,17.314212297868885,7.449828955466583,11.115912114140636
servo_only,servo_only_trial06.csv,az,0.1863344528776536,1.6126603451050183,5.9051159976966385,8.651227331896747
