axis,RMS_mean,RMS_std,RMS_min,RMS_max,P2P_mean,P2P_std,P2P_min,P2P_max,CrestFactor_mean,CrestFactor_std,CrestFactor_min,CrestFactor_max,Kurtosis_mean,Kurtosis_std,Kurtosis_min,Kurtosis_max
aabs,5.754170857185955,1.725297081430075,3.4422181902763898,9.356595365841875,33.635497779190224,9.574326070824165,21.007304501301405,57.0954403666195,5.9321693750653415,0.6615630088344303,5.092833423366731,7.3994837308241435,8.816419558375147,2.6619169062109247,5.662778255746135,14.731501563620604
ax,0.47974431664146827,0.12159692762286303,0.340835436577315,0.7575777532676641,4.8088535218191755,0.8159029424743831,3.7071109493718524,6.274659919856725,6.107940408054179,0.656753570862931,5.170303205059849,7.4071820647648,7.638369688437262,2.5603348426891315,4.092765238837441,12.172569048680609
ay,0.5226461801373073,0.1430762899735539,0.34272523468534516,0.75959082055451,5.051326723574153,1.0734807672789632,3.115668951791223,6.601765867057504,5.761325104542882,0.707847593937693,4.7409793021749405,6.898300337568049,6.782981190368825,2.6696161882511347,4.143846425927752,11.847213708983928
az,5.703920554915777,1.7375350173628585,3.407950213305649,9.329373212448319,55.15243521124553,11.554785792581955,36.73499263247548,77.75086118894791,5.964191988863013,0.6853251486274109,5.098824801112547,7.494092952785703,7.108154293932115,2.9098055374152993,4.527732505432187,14.008796431708895
