Time_s,Real,Imaginary,Magnitude
-2.54414324794829,1.4710280876917999e-06,-3.0754774642106342e-06,3.4091766260558678e-06
-2.5416563044019083,1.578739532009111e-06,-3.0940685763158333e-06,3.473568606616751e-06
-2.5391693608555266,1.6889044960156723e-06,-3.110131135625841e-06,3.53911204646748e-06
-2.5366824173091453,1.8014982573715484e-06,-3.1235535824946516e-06,3.605826251225632e-06
-2.5341954737627637,1.9164925860044433e-06,-3.1342230851857833e-06,3.6737308257303626e-06
-2.531708530216382,2.033855648094845e-06,-3.1420256163483253e-06,3.742845678234193e-06
-2.5292215866700007,2.1535519106185846e-06,-3.146846033524974e-06,3.8131910246460013e-06
-2.526734643123619,2.2755420465724756e-06,-3.1485681637428467e-06,3.884787392825282e-06
-2.524247699577238,2.3997828410130356e-06,-3.147074892235272e-06,3.957655626928428e-06
-2.521760756030856,2.5262270980416366e-06,-3.142248255339546e-06,4.0318168918075e-06
-2.5192738124844745,2.6548235488725725e-06,-3.1339695376123946e-06,4.107292677461737e-06
-2.5167868689380932,2.7855167611247823e-06,-3.122119373201801e-06,4.184104803542701e-06
-2.5142999253917115,2.9182470494805804e-06,-3.1065778515100373e-06,4.262275423913245e-06
-2.51181298184533,3.052950387858608e-06,-3.08722462717928e-06,4.341827031260949e-06
-2.5093260382989486,3.189558323251358e-06,-3.0639390344272696e-06,4.422782461766475e-06
-2.506839094752567,3.3279978913810444e-06,-3.036600205756536e-06,4.505164899827454e-06
-2.5043521512061857,3.4681915343303468e-06,-3.0050871950565205e-06,4.588997882838186e-06
-2.501865207659804,3.610057020308395e-06,-2.96927910511365e-06,4.6743053060259606e-06
-2.4993782641134223,3.7535073657146994e-06,-2.929055219539932e-06,4.761111427344315e-06
-2.496891320567041,3.89845075966703e-06,-2.8842951391260164e-06,4.84944087242379e-06
-2.4944043770206594,4.044790491162227e-06,-2.8348789226197377e-06,4.939318639580769e-06
-2.4919174334742777,4.192424879041086e-06,-2.780687231926643e-06,5.0307701048847904e-06
-2.4894304899278965,4.341247204932091e-06,-2.721601481723117e-06,5.123821027285024e-06
-2.486943546381515,4.49114564935035e-06,-2.657503993468217e-06,5.218497553796313e-06
-2.4844566028351336,4.642003231131076e-06,-2.5882781537943866e-06,5.3148262247453235e-06
-2.481969659288752,4.7936977503791566e-06,-2.5138085772518907e-06,5.412833979077445e-06
-2.4794827157423702,4.946101735118484e-06,-2.4339812733756808e-06,5.5125481597248265e-06
-2.476995772195989,5.099082391826512e-06,-2.348683818038255e-06,5.6139965190361435e-06
-2.4745088286496073,5.252501560042026e-06,-2.2578055290448447e-06,5.717207224268628e-06
-2.4720218851032256,5.406215671235256e-06,-2.1612376459222163e-06,5.822208863143015e-06
-2.4695349415568444,5.560075712131133e-06,-2.0588735138451714e-06,5.929030449461674e-06
-2.4670479980104627,5.71392719267821e-06,-1.9506087716387685e-06,6.037701428790728e-06
-2.4645610544640815,5.867610118856866e-06,-1.8363415437873257e-06,6.1482516842067156e-06
-2.4620741109177,6.0209589705209274e-06,-1.7159726363747784e-06,6.260711542107928e-06
-2.459587167371318,6.173802684468881e-06,-1.5894057368736125e-06,6.375111778091575e-06
-2.457100223824937,6.325964642940407e-06,-1.4565476176929147e-06,6.4914836228969305e-06
-2.454613280278555,6.477262667734843e-06,-1.3173083433885846e-06,6.609858768415e-06
-2.4521263367321735,6.627509020148884e-06,-1.1716014814314861e-06,6.7302693737656055e-06
-2.4496393931857923,6.776510406929844e-06,-1.019344316422091e-06,6.852748071441887e-06
-2.4471524496394106,6.924067992441923e-06,-8.604580676320455e-07,6.977327973523373e-06
-2.4446655060930294,7.069977417241385e-06,-6.948681097459772e-07,7.104042677957749e-06
-2.4421785625466477,7.214028823256566e-06,-5.225041966687023e-07,7.232926274912038e-06
-2.439691619000266,7.356006885767542e-06,-3.433006882552542e-07,7.36401335319376e-06
-2.4372046754538848,7.4956908523792416e-06,-1.57196779812779e-07,7.497339006742682e-06
-2.434717731907503,7.632854589180031e-06,3.586326578367741e-08,7.632938841193433e-06
-2.4322307883611214,7.767266634276824e-06,2.3592988352941798e-07,7.77084898050993e-06
-2.42974384481474,7.898690258895277e-06,4.430479694567929e-07,7.91110607369203e-06
-2.4272569012683585,8.026883536231464e-06,6.572566417140839e-07,8.053747301554787e-06
-2.4247699577219772,8.15159941823931e-06,8.785889997487484e-07,8.198810383581202e-06
-2.4222830141755956,8.272585820534795e-06,1.1070718817944743e-06,8.346333584848696e-06
-2.419796070629214,8.389585715595373e-06,1.342725620872013e-06,8.496355723030203e-06
-2.4173091270828326,8.5023372344291e-06,1.5855637995202362e-06,8.648916175470112e-06
-2.414822183536451,8.610573776884934e-06,1.8355930034837009e-06,8.804054886336e-06
-2.4123352399900693,8.714024130770908e-06,2.0928125745910187e-06,8.961812373846262e-06
-2.409848296443688,8.812412599943521e-06,2.3572143630674088e-06,9.122229737574833e-06
-2.4073613528973064,8.905459141525735e-06,2.628782479532403e-06,9.285348665832683e-06
-2.404874409350925,8.99287951240756e-06,2.907493046943796e-06,9.451211443127602e-06
-2.4023874658045434,9.074385425176653e-06,3.1933139527560207e-06,9.619860957702286e-06
-2.3999005222581618,9.14968471362107e-06,3.486204601570437e-06,9.791340709151223e-06
-2.3974135787117805,9.218481507940879e-06,3.786115668563687e-06,9.965694816117509e-06
-2.394926635165399,9.280476419797922e-06,4.09298885398764e-06,1.0142968024069302e-05
-2.392439691619017,9.335366737327621e-06,4.406756639044596e-06,1.0323205713157449e-05
-2.389952748072636,9.382846630228371e-06,4.727342043447918e-06,1.050645390615398e-05
-2.3874658045262542,9.422607365037854e-06,5.0546583849877614e-06,1.0692759276472687e-05
-2.384978860979873,9.454337530696968e-06,5.388609041428988e-06,1.0882169156271901e-05
-2.3824919174334913,9.477723274494432e-06,5.729087215077231e-06,1.1074731544640476e-05
-2.3800049738871096,9.492448548476533e-06,6.075975700355066e-06,1.1270495115866892e-05
-2.3775180303407284,9.498195366397543e-06,6.42914665474109e-06,1.1469509227792805e-05
-2.3750310867943467,9.494644071277276e-06,6.788461373429276e-06,1.1671823930251092e-05
-2.372544143247965,9.481473613622482e-06,7.1537700680750965e-06,1.1877489973588971e-05
-2.370057199701584,9.458361840359075e-06,7.524911650002477e-06,1.2086558817277302e-05
-2.367570256155202,9.424985794511723e-06,7.90171351825047e-06,1.2299082638605613e-05
-2.365083312608821,9.381022025656505e-06,8.283991352849075e-06,1.2515114341464514e-05
-2.362596369062439,9.326146911161532e-06,8.671548913716727e-06,1.273470756521521e-05
-2.3601094255160575,9.260036988219102e-06,9.06417784558081e-06,1.295791669364732e-05
-2.3576224819696763,9.182369296660637e-06,9.461657489327383e-06,1.3184796864024903e-05
-2.3551355384232946,9.09282173253404e-06,9.863754700193399e-06,1.3415403976221913e-05
-2.352648594876913,8.99107341241057e-06,1.027022367321881e-05,1.3649794701946996e-05
-2.3501616513305317,8.876805048374885e-06,1.0680805776383177e-05,1.3888026494058619e-05
-2.34767470778415,8.749699333639635e-06,1.1095229391855112e-05,1.4130157595971085e-05
-2.3451877642377688,8.60944133871137e-06,1.1513209765787785e-05,1.4376247051151542e-05
-2.342700820691387,8.455718918021571e-06,1.1934448867098777e-05,1.4626354712708943e-05
-2.3402138771450054,8.288223126921673e-06,1.2358635255676456e-05,1.488054125307572e-05
-2.337726933598624,8.106648648926668e-06,1.2785443960457175e-05,1.5138868173781534e-05
-2.3352399900522425,7.91069423307696e-06,1.3214536367824117e-05,1.5401397815321287e-05
-2.332753046505861,7.700063141272802e-06,1.3645560120778158e-05,1.566819336711668e-05
