Frequency_Hz,GlobalWaveletPower,GlobalWaveletAmplitude
1.0,4.267403937856237,2.0657695752082894
1.0422234676157642,3.629439199761726,1.9051087107463778
1.0862297564490278,3.0668601633431436,1.7512453178647311
1.1320941433937326,2.7694449686575426,1.664164946349232
1.1798950837953142,2.8841512510355796,1.6982789084940022
1.229714345655945,3.4605011126889256,1.8602422188223031
1.2816371495063894,4.4090662207737825,2.0997776598425326
1.3357523141837326,5.5124384314586665,2.347858264772102
1.3921524087643515,6.499438884736307,2.5493997106645137
1.4509339109120212,7.145634940029746,2.6731320468749287
1.512197371912029,7.348221666559427,2.7107603484187655
1.5760475886736,7.146264151963703,2.6732497361757472
1.642593782994863,6.683795782277496,2.585303808506361
1.711949788397002,6.131952612122783,2.476277975535619
1.784234244847197,5.607830570242194,2.3680858452011813
1.8595708017034402,5.137010813219097,2.266497476993764
1.938088329228386,4.678491276594493,2.162982033349906
2.019921139034051,4.183325466790942,2.0453179378255455
2.1052092138344527,3.6398185114550987,1.907830839318596
2.1940984468992,3.0833589490968314,1.7559495861489962
2.286740891617647,2.58253064222472,1.6070254018604435
2.3832950216005084,2.2181916490218785,1.4893594760909397
2.4839260017638694,2.056792937099601,1.4341523409664683
2.5888059708593008,2.1186560713613574,1.4555603977030143
2.698114335933375,2.3608449597052554,1.5365041359219491
2.8120380792202866,2.6957194277428687,1.6418646191884605
2.93077207799254,3.0335578372351315,1.7417111807745655
3.0545194379168437,3.3113913380804987,1.8197228739784799
3.1834918404854475,3.4899169296085533,1.8681319358141044
3.3179099051172347,3.5403367428223063,1.881578258490012
3.458003566547975,3.448785001997872,1.857090466831886
3.604012468155311,3.233952569063381,1.798319373488308
3.7561863718912765,2.9510881401125286,1.7178731443597717
3.914785585523602,2.671289708543878,1.634408060596826
4.0800814079166186,2.453485884501954,1.5663607134060642
4.252356593113467,2.3300292429805345,1.5264433310740804
4.431905834013475,2.3071482686063405,1.5189299748857221
4.619036266472058,2.369177008743418,1.5392131134912468
4.814067994685482,2.4822759044445104,1.5755240094789131
