class,file,axis,Fs_Hz,Nyquist_Hz,FFT_DominantFrequency_Hz,FFT_DominantAmplitude_m_s2,PSD_SpectralCentroid_Hz,PSD_SpectralBandwidth_Hz,PSD_SpectralRMS_m_s2,PSD_TotalSpectralPower,PSD_F95_Hz,CWT_DominantFrequency_Hz,CWT_DominantAmplitude,CWT_GlobalWaveletPower,CWT_MeanWaveletPower
servo_only,servo_only_trial01.csv,ax,402.0999999999971,201.04999999999856,10.597364495275906,0.8327025980389136,10.197644485773978,6.0602678174492794,1.4878340830392724,2.213650258653313,17.277734374999877,10.562539110406561,10.375332529366828,781.8674172182762,18.582192032216728
servo_only,servo_only_trial01.csv,ay,402.0999999999971,201.04999999999856,10.597364495275906,0.575569414248994,14.174155096698485,17.451183019959693,1.4578516629994354,2.125331471310219,30.628710937499783,10.562539110406561,7.153254620668205,504.4717775735643,10.060245807437582
servo_only,servo_only_trial01.csv,az,402.0999999999971,201.04999999999856,10.597364495275906,0.06995330939492246,13.297179898804574,15.302224100084368,0.1353730596236056,0.018325865271856277,29.45068359374979,10.562539110406561,0.8845572012277098,6.4374135960158245,0.13338029532322374
servo_only,servo_only_trial01.csv,aabs,402.0999999999971,201.04999999999856,1.7995524614619465,0.8156939376807243,7.132567871404881,14.426232486597717,1.830924915030381,3.3522860444790084,20.419140624999855,1.0,11.784531100935393,724.1829591821065,33.5973643714914
servo_only,servo_only_trial02.csv,ax,402.0999999999971,201.04999999999856,10.14230162900676,0.730060984513271,9.60908952765606,6.454143346186982,2.2450789989337308,5.040379711453282,17.670410156249872,9.724037707212469,10.220460105038406,784.2757522508994,19.932943871099372
servo_only,servo_only_trial02.csv,ay,402.0999999999971,201.04999999999856,10.14230162900676,0.5295791114174212,15.457673474562531,19.603169487194425,1.6963603719521405,2.8776385115296046,41.2309570312497,10.134620298437424,7.182045606797549,508.97106135404556,9.968270072616466
servo_only,servo_only_trial02.csv,az,402.0999999999971,201.04999999999856,10.14230162900676,0.07333428676222614,15.391844372024229,17.68363514886713,0.20828152587453996,0.04338119402062666,36.12617187499974,10.134620298437424,0.8253315341537727,6.716491414296146,0.12724206961603055
servo_only,servo_only_trial02.csv,aabs,402.0999999999971,201.04999999999856,0.21129795060430748,0.8235973734193957,9.400124280689775,14.564212310882699,2.181397121137861,4.758493400108548,24.73857421874982,1.4509339109120212,11.977550445173147,685.6120036547833,31.134642502153344
servo_only,servo_only_trial03.csv,ax,402.09999999998814,201.04999999999407,9.2166741573031,0.9690062336731419,10.475190815033402,8.550591883976503,2.0339044194619493,4.136767187506849,18.455761718749457,8.95210028033207,9.168455211638106,805.2617989542885,20.388442775450848
servo_only,servo_only_trial03.csv,ay,402.09999999998814,201.04999999999407,9.2166741573031,0.5428348770046277,21.32440737850974,26.514151516993294,1.5894442565736304,2.5263330447549004,70.68164062499791,11.473344285380135,6.730697045335432,519.9645133338435,7.666665827670343
