axis,Fs_Hz_mean,Fs_Hz_std,Fs_Hz_min,Fs_Hz_max,Nyquist_Hz_mean,Nyquist_Hz_std,Nyquist_Hz_min,Nyquist_Hz_max,FFT_DominantFrequency_Hz_mean,FFT_DominantFrequency_Hz_std,FFT_DominantFrequency_Hz_min,FFT_DominantFrequency_Hz_max,FFT_DominantAmplitude_m_s2_mean,FFT_DominantAmplitude_m_s2_std,FFT_DominantAmplitude_m_s2_min,FFT_DominantAmplitude_m_s2_max,PSD_SpectralCentroid_Hz_mean,PSD_SpectralCentroid_Hz_std,PSD_SpectralCentroid_Hz_min,PSD_SpectralCentroid_Hz_max,PSD_SpectralBandwidth_Hz_mean,PSD_SpectralBandwidth_Hz_std,PSD_SpectralBandwidth_Hz_min,PSD_SpectralBandwidth_Hz_max,PSD_SpectralRMS_m_s2_mean,PSD_SpectralRMS_m_s2_std,PSD_SpectralRMS_m_s2_min,PSD_SpectralRMS_m_s2_max,PSD_TotalSpectralPower_mean,PSD_TotalSpectralPower_std,PSD_TotalSpectralPower_min,PSD_TotalSpectralPower_max,PSD_F95_Hz_mean,PSD_F95_Hz_std,PSD_F95_Hz_min,PSD_F95_Hz_max,CWT_DominantFrequency_Hz_mean,CWT_DominantFrequency_Hz_std,CWT_DominantFrequency_Hz_min,CWT_DominantFrequency_Hz_max,CWT_DominantAmplitude_mean,CWT_DominantAmplitude_std,CWT_DominantAmplitude_min,CWT_DominantAmplitude_max,CWT_GlobalWaveletPower_mean,CWT_GlobalWaveletPower_std,CWT_GlobalWaveletPower_min,CWT_GlobalWaveletPower_max,CWT_MeanWaveletPower_mean,CWT_MeanWaveletPower_std,CWT_MeanWaveletPower_min,CWT_MeanWaveletPower_max
aabs,402.0999999999943,4.528885277572717e-12,402.09999999998814,402.0999999999994,201.04999999999714,2.2644426387863586e-12,201.04999999999407,201.0499999999997,0.5521429366072829,0.49152317711384735,0.1750544188071346,1.3454588910133747,2.7865165083621695,1.1276030809729696,1.325761749357062,5.0405029318078505,12.240569834215675,2.0260991314581305,8.867191724376994,16.089257312276914,20.438875560814193,3.8194615284362188,14.49801288926047,26.86228170433706,3.3348921392145088,0.33879903783475546,2.8365941553089695,3.861420054669646,11.228638049029962,2.2530114601297924,8.046266401933007,14.910564838604932,43.35140624999937,7.715997026035158,33.77011718749976,60.8647460937482,1.1704896966436602,0.1608956850529364,1.0,1.512197371912029,28.74546950777983,3.2794071278673615,22.83116937401815,36.03524402217369,1922.963488329959,247.55418639958404,1653.8163631695154,2567.636527123598,105.96018201320675,14.219364644988968,93.41439869594912,151.89442254278703
ax,402.0999999999943,4.528885277572717e-12,402.09999999998814,402.0999999999994,201.04999999999714,2.2644426387863586e-12,201.04999999999407,201.0499999999997,4.009028136569393,7.824545327051269,0.18624363131078656,19.641547749725436,0.266260989301337,0.1439309735502288,0.11402542900583919,0.6083406424793,15.661705869487399,2.424270651312337,11.048497605035914,19.381733617951042,14.045659119644977,4.139678065530366,7.790059567484593,20.39232094840059,0.36473745535493407,0.05927228531018147,0.2991567463307272,0.49113870219044703,0.13631240155762464,0.046438643789991706,0.08949475887518706,0.24121722478931662,28.403548177082918,5.155594531475765,22.775195312499836,42.40898437499875,12.34356006990107,8.313805358445917,1.0,18.846043993325242,1.7259887178302726,0.36357807849947094,1.4700557127744902,2.718689724417599,24.77485260344888,1.8414577406262653,22.935628245024432,29.176624552369333,0.4703113059372621,0.18481769490706124,0.29787045858175376,0.9341478147252833
ay,402.0999999999943,4.528885277572717e-12,402.09999999998814,402.0999999999994,201.04999999999714,2.2644426387863586e-12,201.04999999999407,201.0499999999997,4.956002316552778,8.093957508433125,0.18798503973818986,18.927090635953796,0.3226466423200038,0.152913751127393,0.140047728167024,0.6098771814112522,15.061933684267693,3.233677386935229,8.705417020012385,20.288158218624215,13.952931271464584,4.839133131911666,6.1853380085752345,19.19855509995185,0.3993867599745593,0.059809043548043936,0.30221187525750304,0.47423420469112726,0.16284843095376594,0.045873877134530436,0.09133201754665658,0.22489808089902596,27.87998046874959,4.683977127301189,23.167871093749316,37.69687499999889,8.635917583070722,8.462706844360197,1.0,18.082536594995624,1.9091606414428086,0.4274260433375977,1.4810780786891058,2.7611990371503814,25.500482599950566,1.9010120305806235,22.99000365675237,28.756637676323408,0.5507102488946779,0.21955014418442792,0.30707075441856546,0.9504753780562499
az,402.0999999999943,4.528885277572717e-12,402.09999999998814,402.0999999999994,201.04999999999714,2.2644426387863586e-12,201.04999999999407,201.0499999999997,3.722974617212295,7.21674172615423,0.18798503973818986,18.725738607911733,3.686819669540779,1.7443693048719087,1.206037836069801,6.530864832850147,13.823156063018711,2.974964831545674,8.517767264109265,17.327188902108443,14.426161024757501,4.051665608314706,6.741591070272931,19.26539851105836,4.17751319835664,0.6319445995045276,3.2601964523749283,5.178442650396706,17.824346900830662,5.31403077460701,10.628880908078068,26.816268283447663,27.06845052083294,3.7531338397173446,23.167871093749834,34.94814453124897,6.457984898266745,8.008665925386826,1.0,18.846043993325242,20.786542494414505,5.998364006390819,14.426322003961127,35.95120986679558,2619.4492398373445,286.902707898133,2283.0731202810953,3318.8296046129035,64.2713283617167,30.814718328868345,31.171374465768007,144.65317399814032
