class,axis,RMS_mean,RMS_std,RMS_min,RMS_max,P2P_mean,P2P_std,P2P_min,P2P_max,CrestFactor_mean,CrestFactor_std,CrestFactor_min,CrestFactor_max,Kurtosis_mean,Kurtosis_std,Kurtosis_min,Kurtosis_max
both_alternating,aabs,4.813513536768713,1.2424220060373738,3.1340946647487287,7.209080098290593,28.711866752850977,6.8441794561741665,19.484482228574585,40.034140712094285,6.063080614150535,0.7541795903064155,4.839867487790304,7.286208098023908,9.314616948168347,2.6617299706502,5.16003479189227,13.473145513095552
both_alternating,ax,1.4415047080075611,0.24607930966611774,0.9113131562681864,1.9188164460663024,19.570081772504025,4.812406256675493,13.44882088011849,28.91739178828553,8.739164038840526,2.732564944103209,5.477222633672417,14.173476027539522,27.36653068025489,22.731177425815694,5.588493101380788,86.00605910172446
both_alternating,ay,1.1968612493720012,0.2226930163386473,0.7223962422045368,1.6763712719267423,13.926842342517643,2.9130230060941265,10.464739054724536,19.496215763385138,7.936296713066334,1.6365677173278275,6.004014814793391,11.17843276445438,21.48843918393645,12.292344512063588,10.781543864398174,56.604041957119925
both_alternating,az,4.3926898427917065,1.3502685154206402,2.468278757083457,6.743794085567389,48.0280855424459,9.422665768348699,36.07119582714537,69.73063336316446,6.74137466033246,1.1381883354241216,5.381063982075509,8.875037016542798,10.59003268330495,5.785249711357951,4.954929328072516,24.74041781390296
both_simultaneous,aabs,6.034056245340391,1.4994029542096021,4.304513770954654,8.784719234866367,30.979667163212245,8.671440047742575,20.76276727045939,49.1094567780581,5.142834281756106,0.4731686467960821,4.265611453179245,6.034444706360164,5.871810115371946,1.5119012155537939,3.528226679744562,9.343366527823497
both_simultaneous,ax,2.060308585675519,0.04300915481708681,2.004110787094348,2.1672297460650136,18.89745277929709,4.321653449987519,12.199073248995704,26.166674988458272,5.766847320640323,1.2850411904101111,3.752047647288258,8.531309618484991,8.315820927565689,4.186137891469681,2.2812683873879074,19.391464953339245
both_simultaneous,ay,1.6718168328277492,0.047176551711564235,1.6176104028436042,1.7932662034477576,15.608882216559094,2.2930090375536456,12.122560542159178,19.077018899573115,5.799904904208824,1.1062387782329695,3.642610865809405,8.04493487808231,8.12580918662606,3.2334842890946396,3.221800741923163,15.417672570319006
both_simultaneous,az,5.369227840621012,1.6805321418216466,3.409605442321832,8.379821052044198,52.064115597467634,12.074681855451894,36.62895249790779,79.90436268576318,5.862885516130586,0.6727800806960035,4.682313053587596,7.068226607462341,6.923633096495807,3.0468384487908025,3.3433491644257805,12.435231606752282
piston_only,aabs,5.754170857185955,1.7252970814300754,3.4422181902763898,9.356595365841876,33.635497779190224,9.574326070824165,21.007304501301405,57.0954403666195,5.9321693750653415,0.6615630088344303,5.092833423366731,7.399483730824143,8.816419558375147,2.6619169062109247,5.662778255746135,14.731501563620604
piston_only,ax,0.47974431664146827,0.12159692762286303,0.340835436577315,0.7575777532676641,4.808853521819175,0.8159029424743831,3.707110949371853,6.274659919856725,6.107940408054179,0.656753570862931,5.170303205059849,7.4071820647648,7.638369688437262,2.5603348426891315,4.092765238837441,12.172569048680607
piston_only,ay,0.5226461801373073,0.14307628997355393,0.3427252346853451,0.75959082055451,5.051326723574153,1.0734807672789632,3.115668951791223,6.601765867057504,5.761325104542882,0.707847593937693,4.7409793021749405,6.898300337568049,6.782981190368825,2.6696161882511347,4.143846425927752,11.847213708983928
piston_only,az,5.703920554915777,1.7375350173628588,3.407950213305649,9.32937321244832,55.15243521124553,11.554785792581955,36.73499263247548,77.75086118894791,5.964191988863013,0.6853251486274109,5.098824801112547,7.494092952785703,7.108154293932115,2.9098055374152993,4.527732505432187,14.008796431708896
servo_only,aabs,2.6091536398380812,0.1286378166063315,2.5547682433974104,3.0597624268434744,15.3443946701654,2.9380263699415745,10.4757445568286,22.51085251470258,5.8906832497854555,1.0770590385941219,4.094991498534548,8.782326892522201,9.438502895499782,5.440255063890374,4.592988130397852,26.259274524237547
servo_only,ax,2.035691195007622,0.10953456040580406,1.9857916913604925,2.408720033939591,20.05558077253589,3.3407516360160394,14.820701803701962,26.31227625915745,6.6228564448345555,1.156688165719614,4.737324043263309,8.81797654994157,10.803210113261791,4.588089349184889,5.910437671196403,21.256363407446745
servo_only,ay,1.621701136265081,0.07175133457112993,1.5936194714023575,1.8776331936429012,16.001101504332745,2.696193524117026,10.880703468377648,21.459752545777896,6.640706082696968,1.216935113989153,4.541755486838163,9.37766820882971,11.532287757324111,5.800875736200989,6.098009276724817,26.74134802496077
servo_only,az,0.18211912175957023,0.001972481670881664,0.1797506137582844,0.1863344528776536,1.8133439750733444,0.2906135520021202,1.340903516492908,2.2986250361951,6.326711102877604,1.0467853810828855,4.896589768421895,8.405993333135624,10.356502783035417,4.618806996624799,6.037273129770913,21.30518007654566
